Sno.,State Name,Total households applied for job card,Total job cards issued,Total job cards (SC),Total job cards (ST),Total job cards (non-SC/ST),Total households demanded work,Total persons demanded work,Total households allotted work,Total persons allotted work,Total muster rolls filled,Total households worked,Total persons worked,Total households reached 100 day limit,Total persons with disability,Total households worked (non-SC/ST),Total person-days worked (non-SC/ST),Total SC households worked,Total person-days worked by SCs,Total ST households worked,Total person-days worked by STs,Total land reform/IAY households worked,Total person-days worked by women,Total person-days,Total SC households over 100 day limit,Total ST households over 100 day limit,"Labour exp. (disbursed, Rs. In Lakhs)","Material exp. (disbursed, Rs. In Lakhs)","Labour exp. (disbursed + pending, Rs. In Lakhs)","Material exp. (disbursed + pending, Rs. In Lakhs)",Amount sanctioned (Rs. In Lakhs),Total works,Total bank accounts,Total individual bank accounts,Total joint bank accounts,Amount disbursed to bank accounts,Total post office accounts,Total individual post office accounts,Total joint post office accounts,Amount disbursed to post office accounts,Total households completed<br>person-days in range:1-10,Total households completed<br>person-days in range:11-20,Total households completed<br>person-days in range:21-30,Total households completed<br>person-days in range:31-40,Total households completed<br>person-days in range:41-50,Total households completed<br>person-days in range:51-60,Total households completed<br>person-days in range:61-70,Total households completed<br>person-days in range:71-80,Total households completed<br>person-days in range:81-99,Total households completed<br>person-days in range:100,Total households completed<br>person-days in range:>100,Total households completed<br>person-days in range:>14,Total workers employed<br>in age group:,Total workers employed<br>in age group:30-40yrs,Total workers employed<br>in age group:40-50yrs,Total workers employed<br>in age group:50-60yrs,Total workers employed<br>in age group:>60yrs,Total households demanded<br>work(Apr),Total households demanded<br>work(May),Total households demanded<br>work(Jun),Total households demanded<br>work(Jul),Total households demanded<br>work(Aug),Total households demanded<br>work(Sep),Total households demanded<br>work(Oct),Total households demanded<br>work(Nov),Total households demanded<br>work(Dec),Total households demanded<br>work(Jan),Total households demanded<br>work(Feb),Total households demanded<br>work(Mar),Total persons demanded work(Apr),Total persons demanded work(May),Total persons demanded work(Jun),Total persons demanded work(Jul),Total persons demanded work(Aug),Total persons demanded work(Sep),Total persons demanded work(Oct),Total persons demanded work(Nov),Total persons demanded work(Dec),Total persons demanded work(Jan),Total persons demanded work(Feb),Total persons demanded work(Mar),Total households worked(Apr),Total households worked(May),Total households worked(Jun),Total households worked(Jul),Total households worked(Aug),Total households worked(Sep),Total households worked(Oct),Total households worked(Nov),Total households worked(Dec),Total households worked(Jan),Total households worked(Feb),Total households worked(Mar),Total persons worked(Apr),Total persons worked(May),Total persons worked(Jun),Total persons worked(Jul),Total persons worked(Aug),Total persons worked(Sep),Total persons worked(Oct),Total persons worked(Nov),Total persons worked(Dec),Total persons worked(Jan),Total persons worked(Feb),Total persons worked(Mar)
1.0,ANDAMAN AND NICOBAR,48489,48485,4,3976,44505,18212,21840,18238,21875,19,12602,15303,2199,47,11344,615593,2,26,1256,45700,18,298349,661319,0,62,1097,5,1099,5,107424461,1402,11218,10459,759,14232851,622,619,3,258939,7966,23076,35443,43751,45341,53380,55227,54210,122794,209300,10831,645251,2969,5108,3629,2022,1183,3887,3368,2835,4541,3988,5889,6826,4724,5321,4606,5042,3946,4261,3781,3184,5041,4400,6605,7506,5191,5951,5044,5609,4322,2044,2641,3312,4310,4027,4970,5933,4482,4697,5419,5658,4643,25269,29051,39030,56991,45941,53317,84396,45164,64378,80412,80464,56906
2.0,DADRA & NAGAR HAVELI,8176,3554,1,3499,54,4,4,3,3,2,2,2,0,0,2,22,0,0,0,0,1,0,22,0,0,0,0,0,0,22,11,2181,2172,9,1099,0,0,0,0,7,15,0,0,0,0,0,0,0,0,0,15,0,0,2,1,0,4,1,1,0,0,0,0,0,0,0,0,0,4,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0
3.0,DAMAN & DIU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.0,LAKSHADWEEP,8493,8424,8,8321,95,1963,2076,1961,2074,597,1851,1945,40,14,26,943,2,38,1823,47781,0,14409,48762,0,39,96,12,96,12,1006,191,1253,1249,4,1801552,6470,6445,25,7765221,274,14563,10781,2915,4919,3081,2143,2206,3862,3700,318,36344,804,641,349,113,130,180,273,167,212,84,201,174,804,177,238,153,716,185,278,169,214,84,204,176,806,181,243,155,722,175,258,167,173,79,190,155,749,101,176,116,664,2818,4840,2446,3612,1540,3110,2444,11712,1964,3035,1746,9495
5.0,NAGALAND,398035,397829,3545,372154,22130,387007,411424,387006,411421,14431,386517,410808,53864,89,20832,1344199,3542,264254,362146,22922093,228,6380900,24530546,273,47274,25767,14067,30394,15514,245722258,15588,71,68,3,0,1,1,0,0,4685,67739,1541236,1327751,1539606,3429789,2751554,2938863,5540740,5319100,68443,24524011,65994,110841,106132,79956,45498,319127,272144,275621,221741,117000,178236,159477,109041,126893,135914,90061,155081,326585,272267,275622,221743,117121,178498,159491,109042,126949,135919,90096,160373,318868,297316,268643,203760,113322,158927,158938,104998,138382,119538,97975,175061,3849725,3442061,3344911,1909912,1007416,1682449,1824002,1300321,1306128,1421767,1208895,2231919
6.0,ANDHRA PRADESH,8524226,8524226,2112061,680485,5731680,0,0,0,0,2141927,3318164,5915688,674402,74840,2133390,127484282,858878,45479626,325896,23178788,830103,112661951,196142696,138791,93098,347762,110160,347999,110160,303541324042,8170377,0,0,0,0,5328224,5326851,1373,12692642607,2154525,6121098,8957216,10865471,12598242,13636515,13553378,14016446,26738510,1969800,85531495,191834369,739020,1683664,1680226,1208329,605466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1968854,2530361,2281054,1118682,431819,201153,120412,97439,154428,368098,1043353,1325202,39804869,58501871,38643870,11911082,4141126,2035177,1224458,986190,1672036,3535727,14647807,19037475
7.0,ARUNACHAL PRADESH,181538,180884,101,165546,15237,154737,159853,146239,150250,25009,129023,132494,3728,64,8476,478595,58,1463,120489,3869815,9060,1316533,4349873,1,1122,3247,1718,3845,2234,5678210,6900,55717,53995,1722,116843240,25113,22834,2279,59976234,86711,385437,950588,783545,521782,549191,328176,199912,170925,349100,24506,4179241,15219,37754,39877,28281,15018,3164,2838,25886,39201,21277,36193,68069,65476,19540,9334,9492,13899,3248,2898,25943,40139,22173,36338,68529,66001,19752,9500,9572,14066,1852,3258,23424,34950,21770,29242,62344,47616,28814,14594,7326,14496,30324,75714,268509,449516,391508,440247,988508,823684,385108,236127,84132,176496
8.0,ASSAM,4031420,4010637,247060,658009,3105568,1247461,1487274,1247633,1487374,390030,1234828,1472543,9807,2245,907311,22983601,75831,1883269,251686,6536958,19688,8169143,31403828,776,1378,40037,19793,40074,19798,395137419,90876,1303530,1105874,197656,1828838694,1209653,1077109,132544,1536130965,2023680,4975073,5480874,3748495,3738196,3087377,1755586,2024217,3588410,940500,41420,26935382,229192,559335,446405,188182,58120,195627,141811,203865,166592,198698,186680,147291,300161,316102,183177,261127,469751,218606,159851,251813,184189,229127,220121,170266,327499,347790,200247,309103,541706,194444,142468,200725,162621,194615,184721,145344,297500,311100,181196,257831,468569,2301592,1593170,2725227,1816914,2174826,2053004,1588956,3222309,3311209,2051369,2935788,5629464
9.0,BIHAR,13350085,13107228,3456481,220949,9429798,2195457,2820898,2194758,2820029,3365815,2104179,2696267,182408,5093,1463740,66423017,598545,26454557,41894,1826407,9412,29067527,94703981,47609,3362,113930,62560,121466,65964,3912814413,457628,1169180,1041688,127492,1854662288,3422617,2919466,503151,7222513139,1318302,5571987,8378491,6704917,8988522,8803355,7209473,7575758,21178396,9582200,8872082,89940732,427043,1038701,852612,362661,72715,824777,694753,488611,270977,201463,205337,237605,284939,237018,189416,325005,470098,1050465,902184,619760,319129,233685,232618,264038,324161,264451,210281,380006,568888,803949,852904,640721,350593,251485,249334,280854,326840,295493,241047,344981,466220,17448347,15938494,10861295,5705524,4353337,4559645,5107500,6363232,5724909,4748481,5720475,7648975
10.0,CHHATTISGARH,4458232,4419190,462493,1466671,2490026,2731810,5680271,2731658,5679686,2177340,2637699,5383032,244334,25948,1434353,62692822,257656,10823615,945690,45917868,9305,56054803,119434305,18945,109941,155895,54187,156564,54506,372282173,280721,2468447,2422965,45482,5225777482,4132212,4017735,114477,7830892140,1924455,6253223,9193295,9941401,11627267,12219568,10628050,11022485,21706360,8190900,16727301,115026889,1386791,1989071,1355245,689401,241200,835997,1555226,1167748,124305,58486,72914,250435,252909,574342,996579,1150053,1262619,1432035,2866974,2007304,168720,77132,98815,390735,393602,942656,1684484,1934273,2145165,834523,1552771,1164882,123685,58083,72655,248221,248143,483809,848477,982723,1073755,12622589,31668778,15546492,1210543,614829,761565,3155333,3122895,6780170,13255454,14945247,15750410
