Sno.,State Name,Total households applied for job card,Total job cards issued,Total job cards (SC),Total job cards (ST),Total job cards (non-SC/ST),Total households demanded work,Total persons demanded work,Total households allotted work,Total persons allotted work,Total muster rolls filled,Total households worked,Total persons worked,Total households reached 100 day limit,Total persons with disability,Total households worked (non-SC/ST),Total person-days worked (non-SC/ST),Total SC households worked,Total person-days worked by SCs,Total ST households worked,Total person-days worked by STs,Total land reform/IAY households worked,Total person-days worked by women,Total person-days,Total SC households over 100 day limit,Total ST households over 100 day limit,"Labour exp. (disbursed, Rs. In Lakhs)","Material exp. (disbursed, Rs. In Lakhs)","Labour exp. (disbursed + pending, Rs. In Lakhs)","Material exp. (disbursed + pending, Rs. In Lakhs)",Amount sanctioned (Rs. In Lakhs),Total works,Total bank accounts,Total individual bank accounts,Total joint bank accounts,Amount disbursed to bank accounts,Total post office accounts,Total individual post office accounts,Total joint post office accounts,Amount disbursed to post office accounts,Total households completed<br>person-days in range:1-10,Total households completed<br>person-days in range:11-20,Total households completed<br>person-days in range:21-30,Total households completed<br>person-days in range:31-40,Total households completed<br>person-days in range:41-50,Total households completed<br>person-days in range:51-60,Total households completed<br>person-days in range:61-70,Total households completed<br>person-days in range:71-80,Total households completed<br>person-days in range:81-99,Total households completed<br>person-days in range:100,Total households completed<br>person-days in range:>100,Total households completed<br>person-days in range:>14,Total workers employed<br>in age group:,Total workers employed<br>in age group:30-40yrs,Total workers employed<br>in age group:40-50yrs,Total workers employed<br>in age group:50-60yrs,Total workers employed<br>in age group:>60yrs,Total households demanded<br>work(Apr),Total households demanded<br>work(May),Total households demanded<br>work(Jun),Total households demanded<br>work(Jul),Total households demanded<br>work(Aug),Total households demanded<br>work(Sep),Total households demanded<br>work(Oct),Total households demanded<br>work(Nov),Total households demanded<br>work(Dec),Total households demanded<br>work(Jan),Total households demanded<br>work(Feb),Total households demanded<br>work(Mar),Total persons demanded work(Apr),Total persons demanded work(May),Total persons demanded work(Jun),Total persons demanded work(Jul),Total persons demanded work(Aug),Total persons demanded work(Sep),Total persons demanded work(Oct),Total persons demanded work(Nov),Total persons demanded work(Dec),Total persons demanded work(Jan),Total persons demanded work(Feb),Total persons demanded work(Mar),Total households worked(Apr),Total households worked(May),Total households worked(Jun),Total households worked(Jul),Total households worked(Aug),Total households worked(Sep),Total households worked(Oct),Total households worked(Nov),Total households worked(Dec),Total households worked(Jan),Total households worked(Feb),Total households worked(Mar),Total persons worked(Apr),Total persons worked(May),Total persons worked(Jun),Total persons worked(Jul),Total persons worked(Aug),Total persons worked(Sep),Total persons worked(Oct),Total persons worked(Nov),Total persons worked(Dec),Total persons worked(Jan),Total persons worked(Feb),Total persons worked(Mar)
1.0,ANDAMAN AND NICOBAR,52041,52040,4,4405,47631,9991,11967,9982,11952,7801,9609,11459,204,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,35127,34159,968,52524971,2802,2777,25,4812029,15805,36634,34871,31001,30921,27442,19898,17728,32986,16900,3569,238218,1427,4403,3078,1668,883,2328,1570,765,747,1082,607,623,1535,1980,3086,4491,3748,2563,1753,827,804,1243,717,684,1673,2288,3606,5201,4268,2241,1776,987,799,1122,647,595,1465,1886,2972,4477,3872,25104,17906,13738,7983,11401,6844,6172,13244,22548,35298,65746,41771
2.0,DADRA & NAGAR HAVELI,8157,3549,1,3496,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2181,2172,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.0,DAMAN & DIU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.0,LAKSHADWEEP,8309,8142,9,8041,92,147,151,146,150,85,133,135,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2447,2443,4,749745,5171,5156,15,2940,130,889,630,326,141,436,0,78,281,100,206,2215,40,44,27,17,7,58,32,17,13,0,8,18,26,30,14,12,19,58,33,17,13,0,8,18,26,32,14,12,19,51,23,5,5,0,5,15,26,29,11,12,14,717,365,62,70,0,60,343,434,649,118,168,231
5.0,NAGALAND,425656,425554,3631,406767,15156,418268,536268,418241,535831,35255,417353,533275,1468,126,15081,686553,3616,133941,398656,20386283,268,6634261,21206777,0,1467,12803,5019,12804,5019,643918520,21415,26372,26142,230,70364295,1,1,0,5739,46593,253361,1130145,2693725,4060483,3290735,2685813,3325743,3573364,145600,1215,21097314,70012,155192,138683,102298,67090,404227,387359,342101,367239,322834,356309,333367,282076,284792,344395,348614,230450,423089,411236,347050,376206,329712,363013,339193,286519,290175,360769,361552,235883,401359,391529,340758,361921,339476,358664,320108,305908,267184,354649,334098,193393,2599944,3366469,2336501,1560847,1400822,1174725,637232,627466,551742,2882708,2955109,1113212
6.0,ANDHRA PRADESH,8441660,8441660,2082497,725371,5633792,3964996,7003528,3915649,6908942,5631330,3621196,6093683,587128,78724,2349386,129708782,905926,44966403,365884,24427255,825351,115960598,199102440,119655,95333,261644,180414,261704,180554,2681703,2837283,2356548,2350146,6402,8970081480,5464706,5464706,0,10477434216,2477094,6903302,9905616,11837746,13518853,14607644,14803591,15419413,37566245,16926400,55244439,194308179,518598,1578199,1762001,1381595,794090,2499055,2966936,2817862,1885457,1445811,898592,585194,468962,682732,871168,2248389,2273092,4238991,5024482,4714707,3082760,2391845,1463919,922683,736158,1082009,1383658,3667074,3717053,1872877,2425270,2211183,1199618,808079,488404,353363,280147,430258,611590,1399990,1561981,36473976,44219620,29710364,14674379,10164516,5394798,3814218,2849959,4413623,5922501,20227580,21344809
7.0,ARUNACHAL PRADESH,210263,209961,154,193019,16788,192933,203746,189530,200066,29101,181263,188449,1923,107,15721,431247,113,2347,165429,4612394,9801,1596619,5045988,0,963,3926,2166,4082,2528,23448047,4686,86890,83912,2978,140664337,25552,23353,2199,52990417,211476,756876,1372754,581950,363377,361171,363050,487710,349477,92100,106047,4583675,19864,50805,52661,39848,25130,65218,68027,46087,31447,37993,58760,40017,78844,62615,21177,15226,30233,66747,68362,46672,32049,38115,60735,41217,80185,62931,21447,15455,30574,50927,64710,41662,29436,33056,50855,35422,61676,50640,13967,11152,25037,524131,598517,395080,249383,336861,640451,455078,741565,618947,151344,119210,215421
8.0,ASSAM,4918677,4751712,277231,787616,3686865,1668344,2440524,1667506,2439171,554838,1502086,2172391,41973,3752,1122779,36927686,84515,2562652,294792,9117089,35521,16332371,48607427,2741,6973,37366,18817,37960,19531,131683878,279991,2986216,2408776,577440,3062674572,584180,515753,68427,371640875,1785985,5510951,6699632,4940647,5531506,4836667,2902831,4024586,8027558,2644600,1727567,44271159,312220,791068,660565,307152,101505,176128,273992,221081,256954,310420,327131,428183,417259,466656,487687,537517,418360,224214,349473,271779,325783,388407,416135,571843,558848,633047,688916,759911,584637,142886,238829,191039,223242,267733,294657,375404,367923,414322,436811,468583,355264,1508077,2776518,2054072,2448323,3173089,3471448,4804940,4873734,5778080,6382857,6522847,4838545
9.0,BIHAR,14006596,13531813,3509837,234335,9787641,1923420,2439507,1921730,2436372,952204,1479541,1829638,57482,2926,1096533,49506264,357654,16133061,25354,1176886,20577,27299329,66816211,14831,1014,100148,47043,101452,49983,1360946217,562601,4417774,3915007,502767,9761078958,2558,2392,166,38517,497787,3766280,7203148,5463898,7780386,7154792,5394198,6883373,16952728,1920800,4074911,64440213,204181,699887,594960,275422,64706,90929,180727,273769,260135,309332,365757,339946,383727,613119,717950,777987,548994,104041,211943,325370,301252,354797,421596,396062,449609,725275,857017,939792,656486,63441,140860,224194,214866,245648,287622,289190,325208,515203,599727,570718,395107,1006123,2476560,3867511,3659660,4083883,4960046,5062248,5566994,9439427,11014871,9867649,6087329
10.0,CHHATTISGARH,3998110,3949209,415492,1348802,2184915,2611812,5588548,2610425,5584219,2755198,2173906,4116624,242576,22236,1157518,49708535,208983,8501338,807405,43184033,14408,49703648,101393906,16556,123941,86082,33032,86666,33502,138306738,607763,4552257,4494720,57537,6370160458,1519762,1500813,18949,1255950978,1746016,5859250,8171337,8265862,8995773,9002592,7539266,7420328,11834222,614000,31947812,97271785,519594,1560500,1165861,640919,229828,137635,724069,894821,138740,94580,182350,454513,635278,1313210,1431770,1415761,975303,225803,1298276,1644472,216362,139128,297285,795607,1176439,2494698,2686946,2642508,1770015,80343,508990,691927,105852,74126,142732,326480,422598,996483,1171314,1164232,772164,969538,7693254,10143155,1186140,856934,1821480,4766373,6038489,16922486,19204167,20323550,11470892
11.0,GOA,35685,32812,780,9514,22518,5976,6151,5961,6124,1482,5909,6068,21,2,4247,76762,218,3843,1444,26687,5,82510,107292,1,8,215,68,216,68,771071,3337,20132,19892,240,21496029,5,5,0,0,14881,20936,17993,13750,12572,8574,7661,2652,6153,1200,920,83129,99,1222,2286,1483,978,1146,1123,2022,1150,2202,1881,858,611,335,448,784,822,1163,1148,2064,1179,2253,1912,885,618,347,456,802,839,1132,1108,1987,1138,2205,1839,830,589,335,444,785,820,10979,11682,16803,9380,18124,9861,4992,3968,2861,3505,7439,7698
