Sno.,State Name,Total households applied for job card,Total job cards issued,Total job cards (SC),Total job cards (ST),Total job cards (non-SC/ST),Total households demanded work,Total persons demanded work,Total households allotted work,Total persons allotted work,Total muster rolls filled,Total households worked,Total persons worked,Total households reached 100 day limit,Total persons with disability,Total households worked (non-SC/ST),Total person-days worked (non-SC/ST),Total SC households worked,Total person-days worked by SCs,Total ST households worked,Total person-days worked by STs,Total land reform/IAY households worked,Total person-days worked by women,Total person-days,Total SC households over 100 day limit,Total ST households over 100 day limit,"Labour exp. (disbursed, Rs. In Lakhs)","Material exp. (disbursed, Rs. In Lakhs)","Labour exp. (disbursed + pending, Rs. In Lakhs)","Material exp. (disbursed + pending, Rs. In Lakhs)",Amount sanctioned (Rs. In Lakhs),Total works,Total bank accounts,Total individual bank accounts,Total joint bank accounts,Amount disbursed to bank accounts,Total post office accounts,Total individual post office accounts,Total joint post office accounts,Amount disbursed to post office accounts,Total households completed<br>person-days in range:1-10,Total households completed<br>person-days in range:11-20,Total households completed<br>person-days in range:21-30,Total households completed<br>person-days in range:31-40,Total households completed<br>person-days in range:41-50,Total households completed<br>person-days in range:51-60,Total households completed<br>person-days in range:61-70,Total households completed<br>person-days in range:71-80,Total households completed<br>person-days in range:81-99,Total households completed<br>person-days in range:100,Total households completed<br>person-days in range:>100,Total households completed<br>person-days in range:>14,Total workers employed<br>in age group:18-30yrs,Total workers employed<br>in age group:30-40yrs,Total workers employed<br>in age group:40-50yrs,Total workers employed<br>in age group:50-60yrs,Total workers employed<br>in age group:>60yrs,Total households demanded<br>work(Apr),Total households demanded<br>work(May),Total households demanded<br>work(Jun),Total households demanded<br>work(Jul),Total households demanded<br>work(Aug),Total households demanded<br>work(Sep),Total households demanded<br>work(Oct),Total households demanded<br>work(Nov),Total households demanded<br>work(Dec),Total households demanded<br>work(Jan),Total households demanded<br>work(Feb),Total households demanded<br>work(Mar),Total persons demanded work(Apr),Total persons demanded work(May),Total persons demanded work(Jun),Total persons demanded work(Jul),Total persons demanded work(Aug),Total persons demanded work(Sep),Total persons demanded work(Oct),Total persons demanded work(Nov),Total persons demanded work(Dec),Total persons demanded work(Jan),Total persons demanded work(Feb),Total persons demanded work(Mar),Total households worked(Apr),Total households worked(May),Total households worked(Jun),Total households worked(Jul),Total households worked(Aug),Total households worked(Sep),Total households worked(Oct),Total households worked(Nov),Total households worked(Dec),Total households worked(Jan),Total households worked(Feb),Total households worked(Mar),Total persons worked(Apr),Total persons worked(May),Total persons worked(Jun),Total persons worked(Jul),Total persons worked(Aug),Total persons worked(Sep),Total persons worked(Oct),Total persons worked(Nov),Total persons worked(Dec),Total persons worked(Jan),Total persons worked(Feb),Total persons worked(Mar)
11.0,GOA,33869,31029,752,9110,21167,5032,5232,5031,5228,1563,5021,5215,52,1,3186,73742,147,3517,1688,38002,3,86787,115261,2,7,205,86,206,86,604935,3302,18908,18671,237,20426089,5,5,0,0,9438,21978,21951,13897,14033,8191,6269,5525,8758,4200,1021,97534,141,1297,1809,1207,761,226,451,411,224,734,573,1245,1433,1708,1579,1677,1083,232,464,424,228,743,588,1280,1458,1738,1624,1746,1119,226,449,409,223,733,571,1228,1431,1671,1576,1671,1081,2006,4181,3120,1932,6282,4899,12111,14958,19057,18319,17411,10985
12.0,GUJARAT,3441996,3436421,271632,1237346,1927443,642807,1204082,642508,1203534,288953,578674,1052917,29322,11464,283814,11807041,41087,1764011,253773,9458571,18064,10124468,23029623,2584,10511,28982,15209,29029,15543,523544513,181362,868003,581462,286541,1429579221,1497667,930661,567006,1278006354,545109,1771440,2280658,2201932,2423197,2384677,1899064,1987971,4552981,1257400,1725194,21901693,235362,359505,339584,197982,67084,124498,212676,170041,64925,46071,68685,77684,81885,204925,248814,246573,157841,242721,438659,313289,98778,66850,101619,112331,118127,305791,377941,377081,232622,104264,181751,145055,55027,41281,61737,65615,70550,186653,222896,214348,125282,1957092,3921759,2028151,706531,490244,907720,849792,832585,3211361,3602339,3123682,1398367
13.0,HARYANA,779855,778393,352183,32,426178,361761,590270,361754,590244,156288,324919,511605,14103,357,168925,6072758,155975,5714887,19,574,883,4918650,11788219,6600,0,24729,10883,24818,11136,28974750,49003,699470,511827,187643,2175653307,38969,27098,11871,96797803,576108,901540,1142505,1032121,1139363,1166144,1051504,973961,2375169,993400,436404,10745880,113058,189157,174937,77326,38678,20151,50562,90959,92721,88020,96918,85251,75037,100869,117057,117542,85677,29318,80306,142642,140563,132473,147064,126477,109975,145338,165963,169994,124584,15917,41752,76038,78659,74667,80068,69902,60658,82989,96799,92488,64312,221859,605873,1122374,1149619,1053247,1118119,982096,851068,1182043,1368732,1263661,869528
14.0,HIMACHAL PRADESH,1169242,1159777,315965,70580,773232,572136,734401,572100,734345,390294,539223,681530,55439,1656,348567,18132286,153371,8035280,37285,2082042,9259,17660323,28249608,15873,3855,37689,14910,37714,14947,1378505285,268813,884449,817221,67228,3463616829,32578,31454,1124,95336226,204622,1017140,1884268,1866587,2397821,2899961,2806471,2737931,6878388,5265700,290719,27501876,40109,186561,199522,132144,122802,90124,133481,164744,160309,142849,166872,158757,200774,248922,245268,258675,220100,102592,151390,184326,179275,158993,184761,177083,224032,279406,275591,294930,254104,76541,114540,139154,136641,121091,139654,127616,168716,220120,216282,220682,181813,1084175,1784481,2082136,2033622,1849488,2128523,1960494,2573540,3567041,3517232,3261130,2407746
15.0,JAMMU AND KASHMIR,1258658,1144650,82811,169745,892094,712384,1010077,711703,1008877,374751,657588,916230,66639,6655,512480,26411900,43542,2024617,101566,5375374,7139,7826941,33811891,4037,9425,39585,26872,41370,28554,453272928,205434,1159441,1088369,71072,3499110360,14293,11516,2777,33897882,235729,1424376,2837259,2100484,3092578,4050956,2520165,2923223,7733093,2761300,4132728,33044354,189650,317707,287749,145205,62096,48615,23771,29193,56217,76638,103582,122158,169009,200282,203005,211150,225198,58643,27583,35502,68483,93690,129993,156044,218510,259017,256293,270208,297322,41957,30083,33191,59266,84997,123665,146982,187514,221203,212431,225652,226981,1007266,663255,693690,1152665,1947277,2868287,3326022,4161221,4803215,4416587,4546874,4225532
16.0,JHARKHAND,3771079,3737648,479775,1438846,1819027,1216191,1841604,1216061,1841419,874631,1138912,1705832,68861,4964,546025,21829265,139787,5612223,453100,16180761,7519,13913080,43622249,9144,22084,58001,25605,58835,25705,277622707,245416,793340,700254,93086,1042181772,2312298,1906948,405350,3681368859,945563,3701687,4962619,3617746,4975532,4511668,2615519,3797810,7457691,1751700,5284714,40776274,303053,715678,555461,226154,42429,301582,397733,445050,332245,216261,239487,215223,210423,201901,353977,395174,428899,416360,558188,624753,460901,291510,317898,287666,278852,271515,480541,524386,564988,276529,373164,411711,305506,201473,221071,196208,183601,181409,306992,328604,340354,3880549,5558940,5861679,4089760,2478913,2702898,2313033,2170024,2329039,3952139,4055094,4230181
17.0,KARNATAKA,5586563,5557539,927708,452422,4177409,1909384,5837966,1900526,5808306,668925,1450457,4232894,117725,7801,1105948,54757197,235148,11423765,109361,5705012,24044,33491714,71885974,18424,9774,142390,55035,144452,59199,768094969,1214768,4125132,1357597,2767535,13425907295,553680,247872,305808,12380702,605560,3699618,6303499,4293886,5989001,7237655,5498031,6584073,19504379,2818700,9351572,69944312,719944,1309052,1117631,774030,306964,5675,13735,33754,107134,188916,245934,341546,355266,564842,877723,805449,260419,12519,31975,86471,289163,500498,632752,886065,943315,1529839,2486920,2246239,631307,4481,11215,28641,92783,164870,217523,295820,301015,443708,590444,435277,127090,73414,196498,592635,2199440,4124068,5385159,7789564,8090597,13160400,17340082,10863555,2070562
18.0,KERALA,2835056,2822008,356325,68232,2397451,1678824,1833290,1678802,1833198,2453432,1523863,1643206,406614,1741,1256815,69445635,225259,14615773,41789,2541560,13320,80859312,86602968,67405,9266,120293,3441,120635,4076,578995709,442369,2286207,2277122,9085,11082813760,156200,155712,488,883685911,1033190,1632438,2475159,3403740,4476410,5554876,6524824,7176113,13657461,40277200,391557,84988868,26838,268389,514527,467244,366208,62853,300708,493503,710481,832881,757218,993807,1022139,1036772,1054146,935094,684779,64767,312819,515421,745126,876441,797517,1047781,1076420,1090567,1106345,979664,719833,46409,245699,423126,644607,790427,753208,945438,991041,1014821,994945,881812,656604,266448,2040432,3372057,6599547,7601694,5940960,10146896,11244281,11995036,11622089,9712118,6061410
19.0,MADHYA PRADESH,10090871,9945151,1525984,2648692,5770475,3155993,6375160,3154716,6371395,1482185,2908506,5732795,174576,31872,1441350,61540348,500777,21160057,966379,40247277,27773,52438111,122947682,31107,57519,165691,74601,166013,75320,7094398,993747,5198236,2854199,2344037,12040078342,1542179,1035466,506713,3199931551,2176883,7982622,11025349,10864207,12784569,12592310,9303429,11525515,26733451,4021700,13937647,117256838,1153321,2009616,1691110,969512,555008,52247,359591,745865,334240,229909,464601,607753,506824,1129314,1494679,1583884,1508007,80879,579519,1233315,552053,373599,748468,984794,838713,1905151,2585588,2780384,2729549,43574,288581,623041,297450,201743,394908,530447,452283,1027787,1393561,1454242,1302920,482696,3859039,9402172,3991680,2575130,4954101,7337979,6354939,16561372,24211620,23636608,19580346
20.0,MAHARASHTRA,7566413,7251878,748543,1040410,5462925,1258804,2326394,1257722,2324134,866115,1143837,2054816,122629,18232,802198,36416078,110750,5141935,230889,10177517,28789,22600726,51735530,12367,23535,80887,37099,81124,38482,4201116384,633685,2497372,2250863,246509,4631951529,2172985,2106927,66058,2840150139,1275162,3784677,4192482,3674034,3950734,3710804,2645639,2945315,4752205,207400,20597078,48766897,334652,787198,670830,391066,136846,422299,574242,477207,251054,155479,140187,133718,130880,175743,319966,395600,402891,716713,1003755,829226,401939,231585,206688,195958,196456,269164,523655,674712,691655,367055,497161,413823,213788,135456,121440,116230,114696,154875,280526,346002,349530,6566813,9927659,7069683,2974459,1860728,1630973,1656899,1627568,2344171,4750011,5977795,5348771
