Sno.,State Name,Total households applied for job card,Total job cards issued,Total job cards (SC),Total job cards (ST),Total job cards (non-SC/ST),Total households demanded work,Total persons demanded work,Total households allotted work,Total persons allotted work,Total muster rolls filled,Total households worked,Total persons worked,Total households reached 100 day limit,Total persons with disability,Total households worked (non-SC/ST),Total person-days worked (non-SC/ST),Total SC households worked,Total person-days worked by SCs,Total ST households worked,Total person-days worked by STs,Total land reform/IAY households worked,Total person-days worked by women,Total person-days,Total SC households over 100 day limit,Total ST households over 100 day limit,"Labour exp. (disbursed, Rs. In Lakhs)","Material exp. (disbursed, Rs. In Lakhs)","Labour exp. (disbursed + pending, Rs. In Lakhs)","Material exp. (disbursed + pending, Rs. In Lakhs)",Amount sanctioned (Rs. In Lakhs),Total works,Total bank accounts,Total individual bank accounts,Total joint bank accounts,Amount disbursed to bank accounts,Total post office accounts,Total individual post office accounts,Total joint post office accounts,Amount disbursed to post office accounts,Total households completed<br>person-days in range:1-10,Total households completed<br>person-days in range:11-20,Total households completed<br>person-days in range:21-30,Total households completed<br>person-days in range:31-40,Total households completed<br>person-days in range:41-50,Total households completed<br>person-days in range:51-60,Total households completed<br>person-days in range:61-70,Total households completed<br>person-days in range:71-80,Total households completed<br>person-days in range:81-99,Total households completed<br>person-days in range:100,Total households completed<br>person-days in range:>100,Total households completed<br>person-days in range:>14,Total workers employed<br>in age group:18-30yrs,Total workers employed<br>in age group:30-40yrs,Total workers employed<br>in age group:40-50yrs,Total workers employed<br>in age group:50-60yrs,Total workers employed<br>in age group:>60yrs,Total households demanded<br>work(Apr),Total households demanded<br>work(May),Total households demanded<br>work(Jun),Total households demanded<br>work(Jul),Total households demanded<br>work(Aug),Total households demanded<br>work(Sep),Total households demanded<br>work(Oct),Total households demanded<br>work(Nov),Total households demanded<br>work(Dec),Total households demanded<br>work(Jan),Total households demanded<br>work(Feb),Total households demanded<br>work(Mar),Total persons demanded work(Apr),Total persons demanded work(May),Total persons demanded work(Jun),Total persons demanded work(Jul),Total persons demanded work(Aug),Total persons demanded work(Sep),Total persons demanded work(Oct),Total persons demanded work(Nov),Total persons demanded work(Dec),Total persons demanded work(Jan),Total persons demanded work(Feb),Total persons demanded work(Mar),Total households worked(Apr),Total households worked(May),Total households worked(Jun),Total households worked(Jul),Total households worked(Aug),Total households worked(Sep),Total households worked(Oct),Total households worked(Nov),Total households worked(Dec),Total households worked(Jan),Total households worked(Feb),Total households worked(Mar),Total persons worked(Apr),Total persons worked(May),Total persons worked(Jun),Total persons worked(Jul),Total persons worked(Aug),Total persons worked(Sep),Total persons worked(Oct),Total persons worked(Nov),Total persons worked(Dec),Total persons worked(Jan),Total persons worked(Feb),Total persons worked(Mar)
21.0,MANIPUR,514245,507378,13277,234562,259539,455140,504810,454988,504635,95888,455398,504767,2,958,213168,3701192,12534,164301,229696,7457609,479,3990866,11323102,0,0,17442,6247,17538,6251,159485592,24774,210933,190705,20228,393189902,55213,43503,11710,38124699,533969,1967884,3271584,3493317,1951223,76194,21022,5046,2658,100,105,10127918,52558,137727,142537,105078,69065,1470,1,55089,201332,146420,134635,139682,203956,158739,162467,95681,170797,2108,1,55517,203776,147524,136136,140591,214167,159765,176367,97246,178483,1470,0,54817,200123,146207,134407,143122,202595,161592,163283,95549,161148,30699,0,490196,1702222,736468,962373,1597397,2161119,1219699,1137485,468644,816800
22.0,MEGHALAYA,477182,475819,3933,436572,35314,368066,507986,367809,507675,255108,364008,499495,55896,260,31274,2107436,3218,182647,329516,19297503,3595,8985325,21587586,202,52106,24567,5399,25475,6093,236169223,24546,80379,74211,6168,326857332,52032,47382,4650,181892255,122715,545712,990745,1007504,1656708,1695490,1877919,1931481,6139226,4879800,740286,21196058,94220,151598,124736,81097,52931,41650,73320,82544,131866,155266,156843,165866,146811,104456,130258,94894,59097,44932,87661,97551,155957,181275,184294,196816,171347,119860,152254,112155,70351,39335,71326,83164,130007,153907,156873,164828,147001,102531,125538,97311,61217,587113,1255416,1370963,2175538,2614266,2681549,2727582,2443519,1491210,2026787,1482812,730831
23.0,MIZORAM,196579,196578,157,195724,697,172556,202776,172553,202752,99898,172549,202729,0,91,421,31803,44,2976,172084,13044662,3369,3945313,13079441,0,0,20430,3057,20464,3057,564958,16824,90056,37826,52230,848926342,92560,47466,45094,837774424,19088,17266,61502,62647,151812,231880,1019694,5948152,5852769,0,0,13335005,21846,60317,51398,36374,32914,19237,94277,93008,70483,139558,136555,115611,49523,71534,163779,102630,121797,19237,94282,93008,70538,139558,136555,115907,49523,71534,163779,102640,121808,19237,92323,90221,59458,127918,149138,110427,49523,70326,161961,102628,121759,269318,712745,760690,560523,1433386,2147819,1130500,621485,710197,1726225,1205322,1780168
24.0,ODISHA,6372171,6355834,1189341,1771055,3395438,1889977,2855962,1889801,2855554,1620308,1710268,2494262,156781,3587,783317,30483507,292963,11640590,633988,29058176,26142,23894106,71182273,25183,71915,92167,29623,92882,30356,102112707,273029,3787530,3340905,446625,7465558329,1571577,1096425,475152,1534756196,1319241,5306141,7201413,5842609,7267229,6668060,4578171,5488108,9730900,3118300,14662101,67235375,98472,653688,792054,576267,371407,474550,723300,737125,191043,177022,231399,232523,329105,431538,640869,669771,803923,656501,1005036,1050816,265654,233878,307097,307109,434668,580501,868642,913397,1114517,405684,656170,696096,163503,162914,211307,212063,283896,374958,573225,615174,692390,5754608,10366439,8085723,2220159,2153989,2810495,2651888,3744787,4992219,8888085,9355536,10158345
25.0,PUDUCHERRY,69607,68371,19332,76,48963,43794,49707,43794,49707,2007,39335,42666,12,31,27050,545473,12247,299124,38,667,21,723973,845264,5,0,1041,0,1041,0,2794,1177,74130,73635,495,97935799,445,445,0,0,65998,176038,221910,156116,127679,67769,15790,6082,6682,1200,0,717780,4106,14239,14057,9866,7462,767,12396,18420,27684,21012,10480,8753,2941,7750,12463,11760,464,796,13281,20292,30158,22929,11336,9519,3084,8220,13864,13152,482,365,10476,15556,23119,17196,9055,7275,1532,6398,10648,9320,361,1000,72992,152454,214824,106457,63677,46231,9628,37051,79487,59743,1720
26.0,PUNJAB,1088523,1069165,800420,280,268465,454225,566639,453654,565885,109760,412104,494255,12365,554,92947,3106184,319046,10357725,111,4144,1614,7102959,13468053,9588,12,16738,7447,16829,7520,58176726,41538,864143,773869,90274,1597371670,87004,78825,8179,34268770,546682,1432060,1765014,1657868,1564217,1384831,1164059,962980,1724865,571200,694277,12349156,34584,123601,159999,100469,75600,42679,54280,56512,21671,59325,116001,104592,91422,123881,155270,195773,195920,50026,63901,65244,24420,67365,135291,120840,105332,142142,177910,227211,228671,33951,45189,42209,16836,50763,100851,93182,79154,112993,141051,177823,175283,392909,547480,428383,198102,608274,1240346,1168123,1002275,1569481,1857158,2309827,2145695
27.0,RAJASTHAN,9882504,9829918,1789070,1728980,6311868,3946852,5570939,3946537,5570357,2211284,3615080,5021514,446095,3122,2036892,99242864,721733,36503508,856455,48109195,3243,124575539,183855567,90135,130827,181722,51493,181747,52771,76349604,540681,5102800,4121832,980968,11467185815,4044987,3817196,227791,5675906545,2426982,7733193,12042764,14830751,16452550,16188806,16380778,15907631,26980856,4691500,50219756,178149210,1009581,1777490,1400938,864310,510265,841418,1723988,2159477,1002098,449798,495846,446627,409290,842620,1682918,1769332,1335704,1071232,2249699,2799724,1220249,544464,612407,556273,497964,1009451,2055477,2149570,1678981,699311,1545014,1936503,817047,371174,406165,347445,317658,709193,1478051,1555185,1075333,10440593,29865693,35669378,12391089,5871595,6537198,5606759,4622725,10679566,24938170,22901104,14331697
28.0,SIKKIM,87426,87107,4390,31543,51174,65256,84522,65254,84515,24939,63288,80813,14005,112,36497,2451899,2848,186046,23943,1765322,139,1974942,4403267,511,6714,5849,3758,5908,3924,35244386,6183,64112,56525,7587,394937954,28115,24394,3721,147852481,9459,57375,111815,124195,198768,299194,356679,460298,1379231,1271000,135253,4368172,14068,27330,20234,13496,9436,6034,4665,8294,11218,15198,23415,18399,26881,35550,34521,31695,23584,7557,5710,9492,12480,16492,25351,20267,29677,40377,38839,35978,27253,5762,4459,7908,10833,14348,23942,19270,26716,36200,36166,33428,25838,119712,77358,129652,196131,238263,434857,310209,433481,716782,727102,603118,416602
29.0,TAMIL NADU,8598545,8497290,2446962,136566,5913762,6309175,8780123,6308449,8778265,4956480,6267704,8633559,920784,80451,4345599,253851443,1832471,109078775,89634,4792364,70768,308681664,367722582,273556,10321,364067,470,364461,483,1577329249,349838,8058969,7973533,85436,33455132886,406,302,104,446879,3771324,8678267,12983626,16978518,21124278,24563433,27785555,32489288,126320059,50212700,42815534,361076754,858620,2710603,2533974,1618288,914967,3888122,3931468,3574690,2987587,3131227,2566338,2721362,2924189,3029629,2836117,2672475,2290571,4730660,4818389,4142330,3387850,3595731,2869464,3046124,3349874,3503652,3240351,3013190,2511996,3824818,3961220,3553628,2977813,3121736,2553131,2717118,2916824,3019194,2822711,2653327,2272796,44038091,52752731,37516925,29193427,31721735,21499830,24553623,25820983,28180391,26620086,25353578,20471182
30.0,TRIPURA,629322,629089,110831,251046,267212,596936,1138654,596925,1138575,949076,591458,1116794,285687,12897,244525,20577841,106278,9028789,240655,22553949,97236,24572623,52160579,43080,145182,69715,29019,69941,29269,328695646,277934,678271,201614,476657,6715244851,4160,2468,1692,11971764,35923,128481,259083,390584,637777,1088705,1750130,3076311,15824981,17211100,11757504,52090595,223082,337005,280213,172537,126002,4407,26171,280619,367288,347985,456606,316391,435352,469191,400842,440638,476592,4494,28251,316362,432553,416513,570416,380686,554727,639689,545044,611734,771299,3357,24124,259631,352076,339482,448763,324486,428075,463549,398799,431722,467806,23101,179181,2425412,4037022,3826759,5724476,2990643,5713121,7075119,5575761,6215766,8374218
31.0,UTTAR PRADESH,15162447,14927530,4923215,156104,9848211,5501834,6889241,5501258,6888399,4132304,4994721,6148777,160598,11414,3185227,112054018,1759099,61502060,50395,1803534,33361,38880578,175359612,57805,1898,222756,96434,229036,99980,5233560518,1960627,10749463,10003895,745568,20688797992,456482,429951,26531,219229508,5456484,15988949,20588740,17566555,20210315,18211992,16211592,14590996,30164779,7502100,8867110,161936408,909772,2510482,2191402,1001195,276683,537384,1507420,2226318,1768140,1484551,1524705,1486470,1496182,1786294,1202388,987210,1055434,612508,1719487,2603165,2053746,1702592,1766293,1713746,1702254,2030843,1344448,1097340,1175519,417914,1268914,1989253,1667434,1363142,1373717,1363116,1347460,1599033,1055910,868153,866477,3986507,14551818,24768521,19305249,15469773,15736904,15546550,15464816,19430906,11601544,9780717,9716307
32.0,UTTARAKHAND,1085917,1072977,219711,37543,815723,404941,475551,404403,474868,252297,397482,466318,28006,467,316236,13042100,70709,3089240,10537,430686,2071,7433032,16562026,5810,634,23116,10637,23158,10669,242337540,67947,663686,617162,46524,1559694792,204933,189919,15014,570031244,261261,1209476,1887289,1666391,1867552,1573218,1254693,1284408,2089539,186100,3282099,15773976,43305,141213,140281,90007,59440,74809,49249,53116,81897,75734,78421,68507,79625,77519,85096,72203,44368,81913,54772,59328,89792,83324,86902,75402,87393,85691,93377,78979,49626,73676,64238,62899,89816,93045,95163,86959,95295,98636,103330,93184,60194,1388848,1083923,974602,1427090,1498988,1574226,1498848,1525154,1625298,1749934,1408959,806156
33.0,WEST BENGAL,11848223,11742605,3267825,922242,7552538,6441604,9907500,6441333,9906929,4950483,6132613,9169173,280627,110579,3610666,130578084,1950163,76900993,571784,22154936,342362,81983183,229634013,101641,29417,249376,90830,256192,100305,7608564886,929497,7617939,6889894,728045,15022633150,4715589,4049330,666259,8676525377,5108030,18521108,27324186,26192506,28695118,25346598,20767583,17673723,31258470,9538900,19207791,216086790,1335861,2854825,3013100,1817516,875050,665960,966557,809553,352098,307585,1248629,1259041,1888852,2915790,3912487,3484547,2801738,897045,1283623,1071923,464072,409643,1611425,1607108,2449672,3869795,5381522,4821114,3984165,614132,862969,711567,312786,270900,1124261,1150075,1706108,2716107,3691132,3303702,2652645,7090979,9224404,7085365,2746896,2364064,8963780,9352605,17600732,34281927,52622314,45361972,32938975
,Total:,123711595,122011247,26160197,16588194,79262856,48962008,77140016,48912250,77045151,39234227,45427715,69262169,4446810,421774,27484546,1252276939,10495339,475696563,7447830,361804282,1615740,1095937880,2089777784,950516,826222,2647920,892742,2692682,923991,271215832368,19163021,62559128,52274456,10284672,165519510200,35836251,31786603,4049648,61637339396,35033282,114102025,161436107,158770600,183558693,181967833,162407468,176812385,424327565,169343300,320875685,2004293990,10329428,23342656,21241466,12679672,6271731,12155567,15979969,17700724,12059677,10011442,10598950,11107613,12157362,16620117,20176611,19848127,17849875,17158609,22546911,24337339,15468686,12460885,13232382,13981680,15389165,22306750,28508382,28328258,25279073,10890553,14934869,16124705,10699480,9051631,9817034,10280327,11244961,15078520,18011834,17645208,15532079,156011606,233652465,212008765,123219699,103800124,108728919,118592030,133219404,199799188,256688454,243067965,199538488
