Sno.,State Name,Total households applied for job card,Total job cards issued,Total job cards (SC),Total job cards (ST),Total job cards (non-SC/ST),Total households demanded work,Total persons demanded work,Total households allotted work,Total persons allotted work,Total muster rolls filled,Total households worked,Total persons worked,Total households reached 100 day limit,Total persons with disability,Total households worked (non-SC/ST),Total person-days worked (non-SC/ST),Total SC households worked,Total person-days worked by SCs,Total ST households worked,Total person-days worked by STs,Total land reform/IAY households worked,Total person-days worked by women,Total person-days,Total SC households over 100 day limit,Total ST households over 100 day limit,"Labour exp. (disbursed, Rs. In Lakhs)","Material exp. (disbursed, Rs. In Lakhs)","Labour exp. (disbursed + pending, Rs. In Lakhs)","Material exp. (disbursed + pending, Rs. In Lakhs)",Amount sanctioned (Rs. In Lakhs),Total works,Total bank accounts,Total individual bank accounts,Total joint bank accounts,Amount disbursed to bank accounts,Total post office accounts,Total individual post office accounts,Total joint post office accounts,Amount disbursed to post office accounts,Total households completed<br>person-days in range:1-10,Total households completed<br>person-days in range:11-20,Total households completed<br>person-days in range:21-30,Total households completed<br>person-days in range:31-40,Total households completed<br>person-days in range:41-50,Total households completed<br>person-days in range:51-60,Total households completed<br>person-days in range:61-70,Total households completed<br>person-days in range:71-80,Total households completed<br>person-days in range:81-99,Total households completed<br>person-days in range:100,Total households completed<br>person-days in range:>100,Total households completed<br>person-days in range:>14,Total workers employed<br>in age group:,Total workers employed<br>in age group:30-40yrs,Total workers employed<br>in age group:40-50yrs,Total workers employed<br>in age group:50-60yrs,Total workers employed<br>in age group:>60yrs,Total households demanded<br>work(Apr),Total households demanded<br>work(May),Total households demanded<br>work(Jun),Total households demanded<br>work(Jul),Total households demanded<br>work(Aug),Total households demanded<br>work(Sep),Total households demanded<br>work(Oct),Total households demanded<br>work(Nov),Total households demanded<br>work(Dec),Total households demanded<br>work(Jan),Total households demanded<br>work(Feb),Total households demanded<br>work(Mar),Total persons demanded work(Apr),Total persons demanded work(May),Total persons demanded work(Jun),Total persons demanded work(Jul),Total persons demanded work(Aug),Total persons demanded work(Sep),Total persons demanded work(Oct),Total persons demanded work(Nov),Total persons demanded work(Dec),Total persons demanded work(Jan),Total persons demanded work(Feb),Total persons demanded work(Mar),Total households worked(Apr),Total households worked(May),Total households worked(Jun),Total households worked(Jul),Total households worked(Aug),Total households worked(Sep),Total households worked(Oct),Total households worked(Nov),Total households worked(Dec),Total households worked(Jan),Total households worked(Feb),Total households worked(Mar),Total persons worked(Apr),Total persons worked(May),Total persons worked(Jun),Total persons worked(Jul),Total persons worked(Aug),Total persons worked(Sep),Total persons worked(Oct),Total persons worked(Nov),Total persons worked(Dec),Total persons worked(Jan),Total persons worked(Feb),Total persons worked(Mar)
1.0,NAGALAND,444760,440127,3719,418925,17483,391080,414966,390026,413190,23277,388279,410804,0,395,15712,675742,3613,133224,368954,13738409,406,5341882,14547375,0,0,18386,12095,43395,12723,5715186,38317,204341,201362,2979,781783670,207,207,0,968164,0,0,0,0,0,0,0,0,0,0,0,0,35839,107747,106262,86186,74770,41043,359299,314909,257522,252612,213149,217397,140392,38422,0,0,0,41043,359504,315579,257592,252890,213469,217436,140868,38433,0,0,0,38952,355553,312786,276418,251670,214432,195811,97217,5021,0,0,0,108706,3755158,2624424,2303495,1947475,1500135,1602159,683060,23063,0,0,0
2.0,ANDHRA PRADESH,9385904,9385904,2240599,747307,6397998,5021746,8782217,5015170,8770879,5989723,4637293,7704545,348992,84802,3097495,141894918,1131621,49756600,408177,23853144,885287,121471311,215504662,0,0,486981,291466,497521,348484,5528162,5720756,9170906,9170542,364,41247612048,501980,501980,0,181409750,0,0,0,0,0,0,0,0,0,0,0,0,537440,1725687,2143802,1891835,1408297,3468803,4215848,4520517,3849185,2233488,1716206,1513676,1332536,1130761,0,0,0,5795936,7133214,7751209,6482269,3654838,2800371,2425304,2119672,1785288,0,0,0,2130609,3615040,3931715,2643201,1036004,672703,502226,292702,1537,0,0,0,24604402,65209090,77221356,27676931,9164348,5501058,4041744,2080604,5129,0,0,0
3.0,ARUNACHAL PRADESH,257782,250219,257,230645,19317,215197,229474,214181,227962,28167,206571,218309,501,472,17597,749777,215,9753,188759,7162795,5324,3265475,7922325,0,0,24044,6745,26401,11716,9724507,15708,277532,257865,19667,2846026202,1919,1911,8,23648,0,0,0,0,0,0,0,0,0,0,0,0,42018,58768,53309,39384,24591,42380,101029,89578,60561,46512,68180,55793,55731,20531,0,0,0,43763,103665,91692,61627,47764,69958,56839,57768,20919,0,0,0,39290,100559,96356,62911,49595,67719,54180,40354,707,0,0,0,622796,1719322,1463892,991779,786800,1045463,737893,550374,4006,0,0,0
4.0,ASSAM,5524835,5011931,271195,748099,3992637,1898801,2701921,1897752,2700313,1231883,1684149,2312599,13138,3779,1335654,35913797,78422,1904223,270073,7198531,49085,19258780,45016551,0,0,87193,8703,88459,12714,7769650,840572,6050111,5717720,332391,9428610757,331880,315167,16713,24449085,0,0,0,0,0,0,0,0,0,0,0,0,290631,778104,738372,379139,126453,23888,550299,653378,488279,469863,482482,550710,881269,481271,0,0,0,30679,732372,881598,637898,603588,623273,722612,1202524,639828,0,0,0,21431,503029,600387,450021,429524,436584,501433,796975,68722,0,0,0,140309,5583974,7472843,5464772,5008407,5013961,5848856,10007808,477128,0,0,0
5.0,BIHAR,19783004,17831136,3830869,280663,13719604,4875938,5697426,4864334,5682121,5834540,4008028,4567720,8396,7680,3449177,128726365,509685,17219865,49166,1735064,771425,81446426,147681294,0,0,275206,142207,285291,262509,101023130,3583136,10092934,9468005,624929,28626687774,2997,2905,92,784564,0,0,0,0,0,0,0,0,0,0,0,0,784544,1526252,1278770,691466,286734,856753,2043955,2621233,1340480,894565,1094410,971579,980733,476884,81,0,0,930675,2319732,2984537,1457354,967735,1185083,1043613,1056190,512542,84,0,0,730056,1779095,2134224,1038926,742597,872534,804538,613740,5705,0,0,0,12289146,33276862,37118111,17506752,11867514,13866077,12869435,8860270,29814,0,0,0
6.0,CHHATTISGARH,4238775,3995782,425360,1285282,2285140,3103818,6342544,3103357,6341354,2995310,2705644,5094608,137512,33979,1570755,59533364,280449,10378573,854440,36856604,30733,53130571,106768541,0,0,187437,53102,189575,78123,3563227,1379693,7765174,7709104,56070,18277164745,164889,163392,1497,241257988,0,0,0,0,0,0,0,0,0,0,0,0,575455,2057492,1415561,771876,274318,1635285,2491109,1992963,320979,253584,243295,324816,486100,524567,25,0,49,2908847,4805684,3689346,478345,367687,350123,489170,778516,837761,40,0,69,1394934,2161345,1668215,257393,218578,208797,262423,345229,61072,0,0,0,19299047,46451490,24522396,2827924,2675611,2562260,3390451,4577808,461822,0,0,0
7.0,GOA,37722,33892,795,9970,23127,3593,3748,3516,3665,783,3383,3521,1,2,1642,28480,123,2938,1618,28986,2,44419,60404,0,0,109,58,173,58,77271,3751,20441,20192,249,10891848,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,639,1300,985,543,391,805,680,272,281,465,1480,2280,1249,0,0,0,410,823,693,278,293,484,1547,2359,1310,0,0,0,390,795,680,260,275,465,1452,2161,77,0,0,0,2229,8606,6365,2465,2147,3553,12355,22344,340,0,0,0
8.0,GUJARAT,4202241,3979407,248907,1506010,2224490,1230723,2241318,1228479,2237073,520776,992344,1688314,6540,11689,529410,20214361,53082,2056265,409852,13438318,39617,16504165,35708944,0,0,66093,20547,66277,24782,22317331,503128,3654683,3243093,411590,6540038101,549682,369702,179980,4364193,0,0,0,0,0,0,0,0,0,0,0,0,322429,543173,463303,264726,84913,92510,762204,800944,245410,152698,131702,136035,90422,84301,0,0,1,132505,1365508,1380898,360918,221932,186707,185235,120390,115965,0,0,1,75224,620319,643453,191407,114249,105179,100415,55552,5842,0,0,0,898785,13246603,12785709,3156904,1737274,1658893,1521730,665729,37317,0,0,0
9.0,HARYANA,1094536,1092965,438292,207,654466,459353,681301,458670,680441,148681,386449,547660,5467,581,213508,7621520,172874,4653750,67,2235,2634,6008643,12277505,0,0,29749,4335,29955,11089,764548,121730,1320689,1274417,46272,3583861909,39412,36392,3020,321342658,0,0,0,0,0,0,0,0,0,0,0,0,86138,178055,162158,85307,35869,42988,205155,222984,184517,157027,146726,145028,140074,71757,0,0,0,56811,288497,314840,252544,213509,193767,183397,174581,88395,0,0,0,34855,172378,181400,145093,123555,113503,111317,87710,1685,0,0,0,305981,1946208,2436053,1924782,1519632,1462689,1585700,1087815,6785,0,0,0
10.0,HIMACHAL PRADESH,1353035,1317049,344724,81876,890449,617953,864115,617817,863847,368716,565419,770196,49445,1469,371700,16868529,148347,6862783,45372,2709901,7604,16115886,26441213,0,0,52239,17469,52409,28732,2271343,432207,1593138,1543414,49724,5245023047,7990,7830,160,4708568,0,0,0,0,0,0,0,0,0,0,0,0,71621,233051,219097,141443,104523,34433,192515,285937,285566,248599,248568,253234,245663,143765,2,0,0,39912,228036,346572,349315,301183,305416,310751,300994,171890,2,0,0,30570,173106,258394,254569,217337,215558,213838,188994,117,0,0,0,415937,2873517,4671937,4525328,3591412,3711126,3692536,2960571,234,0,0,0
