Sno.,State Name,Total households applied for job card,Total job cards issued,Total job cards (SC),Total job cards (ST),Total job cards (non-SC/ST),Total households demanded work,Total persons demanded work,Total households allotted work,Total persons allotted work,Total muster rolls filled,Total households worked,Total persons worked,Total households reached 100 day limit,Total persons with disability,Total households worked (non-SC/ST),Total person-days worked (non-SC/ST),Total SC households worked,Total person-days worked by SCs,Total ST households worked,Total person-days worked by STs,Total land reform/IAY households worked,Total person-days worked by women,Total person-days,Total SC households over 100 day limit,Total ST households over 100 day limit,"Labour exp. (disbursed, Rs. In Lakhs)","Material exp. (disbursed, Rs. In Lakhs)","Labour exp. (disbursed + pending, Rs. In Lakhs)","Material exp. (disbursed + pending, Rs. In Lakhs)",Amount sanctioned (Rs. In Lakhs),Total works,Total bank accounts,Total individual bank accounts,Total joint bank accounts,Amount disbursed to bank accounts,Total post office accounts,Total individual post office accounts,Total joint post office accounts,Amount disbursed to post office accounts,Total households completed<br>person-days in range:1-10,Total households completed<br>person-days in range:11-20,Total households completed<br>person-days in range:21-30,Total households completed<br>person-days in range:31-40,Total households completed<br>person-days in range:41-50,Total households completed<br>person-days in range:51-60,Total households completed<br>person-days in range:61-70,Total households completed<br>person-days in range:71-80,Total households completed<br>person-days in range:81-99,Total households completed<br>person-days in range:100,Total households completed<br>person-days in range:>100,Total households completed<br>person-days in range:>14,Total workers employed<br>in age group:,Total workers employed<br>in age group:30-40yrs,Total workers employed<br>in age group:40-50yrs,Total workers employed<br>in age group:50-60yrs,Total workers employed<br>in age group:>60yrs,Total households demanded<br>work(Apr),Total households demanded<br>work(May),Total households demanded<br>work(Jun),Total households demanded<br>work(Jul),Total households demanded<br>work(Aug),Total households demanded<br>work(Sep),Total households demanded<br>work(Oct),Total households demanded<br>work(Nov),Total households demanded<br>work(Dec),Total households demanded<br>work(Jan),Total households demanded<br>work(Feb),Total households demanded<br>work(Mar),Total persons demanded work(Apr),Total persons demanded work(May),Total persons demanded work(Jun),Total persons demanded work(Jul),Total persons demanded work(Aug),Total persons demanded work(Sep),Total persons demanded work(Oct),Total persons demanded work(Nov),Total persons demanded work(Dec),Total persons demanded work(Jan),Total persons demanded work(Feb),Total persons demanded work(Mar),Total households worked(Apr),Total households worked(May),Total households worked(Jun),Total households worked(Jul),Total households worked(Aug),Total households worked(Sep),Total households worked(Oct),Total households worked(Nov),Total households worked(Dec),Total households worked(Jan),Total households worked(Feb),Total households worked(Mar),Total persons worked(Apr),Total persons worked(May),Total persons worked(Jun),Total persons worked(Jul),Total persons worked(Aug),Total persons worked(Sep),Total persons worked(Oct),Total persons worked(Nov),Total persons worked(Dec),Total persons worked(Jan),Total persons worked(Feb),Total persons worked(Mar)
1.0,ANDAMAN AND NICOBAR,36024,36023,4,3966,32053,11770,14303,11743,14266,10910,11592,14048,479,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,34445,33591,854,40712737,206,205,1,50140,14283,36010,41523,45642,45834,39842,38005,36770,51307,41400,6765,369647,1845.0,5218.0,3814.0,2030.0,1090.0,2725,3111,3800,1997,3228,1697,1028,2036,2825,3451,4120,3369,3171,3653,4413,2182,3652,1904,1150,2211,3166,3941,4723,3802,2577,3306,3841,2254,3223,1819,1154,2188,2817,3614,4292,3391,33481,43485,42224,20703,37740,16084,10475,22621,28269.0,39752,60242,42305
2.0,DADRA & NAGAR HAVELI,8157,3549,1,3496,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2181,2172,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
3.0,DAMAN & DIU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
4.0,LAKSHADWEEP,8243,8071,9,7972,90,8,8,8,8,4,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3253,3249,4,0,4521,4507,14,0,0,110,0,0,0,0,0,0,0,0,0,0,0.0,4.0,1.0,1.0,2.0,3,0,0,0,0,0,5,0,0,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0,40,0,0,0,0,0,70,0,0.0,0,0,0
5.0,NAGALAND,429713,429515,3640,410666,15209,421432,519981,421037,519274,43899,418351,515245,182,122,14980,977759,3626,205309,399745,27887637,264,8627552,29070705,0,177,42996,15496,43005,15497,13592880,24992,83570,82835,735,584855519,6,6,0,43684,22362,93671,196296,795976,1334770,2739869,5559470,5533268,12776778,13700,4545,29027425,54053.0,146732.0,135674.0,103293.0,75493.0,400166,388775,392771,378265,370040,361489,337687,324947,321729,338855,304858,270184,423112,401251,404412,383842,375647,367431,340809,328464,325370,345717,308547,276245,394630,383702,391172,373416,366052,355224,340275,330764,335645,347199,323663,294678,3598302,3284223,3254491,2799107,2246933,2418877,2010130,1888416,1403151.0,2415385,2036591,1715099
6.0,ANDHRA PRADESH,8554384,8554384,2094561,717191,5742632,4014973,7045364,3980950,6982992,6663379,3991319,6584514,580074,81160,2615925,136824943,985214,45924220,390180,22759558,866873,119697798,205508721,113116,80445,263163,160370,263648,160454,3319179,4668190,5987408,5986982,426,20176900382,1807291,1807290,1,4336630652,2891813,7067674,10742037,12908250,14931258,16230319,16329069,17324648,40459346,24424800,42760510,200621574,55898.0,151954.0,139489.0,105324.0,76585.0,2787715,3108064,2831202,1675808,1101601,787901,718826,865635,789893,1249297,2127608,2359272,4753764,5310215,4753389,2703866,1737578,1215849,1099333,1366953,1244810,1996153,3434027,3794999,1963242,2670540,2333915,1148616,770266,720786,775839,573746,477759,619205,1339569,1632560,31238982,50884880,35544691,12578009,7568449,5987281,5937116,5327393,4837964.0,6357551,17316867,22510543
7.0,ARUNACHAL PRADESH,218870,217825,170,200179,17476,207359,229298,205260,226515,48935,202912,221935,46,510,16439,897399,150,6552,186323,7633985,9702,2911623,8537936,0,44,9119,5013,9314,5245,33639959,9910,165704,153113,12591,597513336,11381,10481,900,33451316,85924,363422,930750,1162599,1266830,1825731,1097408,1171440,625937,2600,2023,8338426,,,,,,100810,123047,101944,90878,86928,83729,71582,51977,61266,51627,32703,17161,103230,124452,103958,94170,88924,84570,72404,52181,61953,52029,33043,17617,90044,112058,96385,83192,78667,75402,73838,46704,55193,47801,29979,17809,733523,948053,841199,836770,860668,942742,868763,582492,715141.0,620194,388142,196977
8.0,ASSAM,4595348,4420868,264373,692549,3463946,1785201,2704531,1784225,2702868,549726,1567972,2328882,11297,5554,1171089,34955863,83576,2198259,313307,9244248,34494,16930002,46398370,466,2886,113481,13844,114429,18047,103530328,355650,3615554,2904183,711371,10667505375,475209,421009,54200,385275565,1958077,6148275,7174623,5098897,5887533,4841549,2706232,4065605,7554756,955400,217565,41584867,,,,,,280391,410156,349390,257475,306558,407729,289288,278556,415108,417080,445932,470564,406686,613370,502091,349907,406786,571757,412451,380623,566937,564152,600074,628214,220149,336771,282064,213446,256612,354551,248409,238033,353572,337573,347864,395379,3178987,5351910,3978178,2574560,3118542,4474538,3225177,2984023,4457710.0,4256247,4376482,4632158
9.0,BIHAR,15217059,14530414,3656420,250017,10623977,2979329,3727978,2977825,3726082,1371253,2286043,2793763,14165,4762,1723097,64163030,522870,19800443,40076,1471424,54908,37364070,85434897,3773,244,136026,56323,138404,58767,715247269,634197,5225822,4695557,530265,13011890529,3265,3172,93,431703,1174552,7367145,12607176,9100763,11243065,10127194,6995741,8129944,17647128,888100,555578,80267452,,,,,,555931,595780,535476,333340,257825,262082,384418,439435,787837,1038559,995613,746372,685664,734118,659628,397465,298989,300486,443106,511455,924401,1214873,1159775,865993,372714,424142,379298,237173,186543,197478,286355,360220,629343,840681,786480,582627,7133500,7727010,6081234,3536768,2738821,2923007,4187397,5561992,10462807.0,14394052,12746339,8343459
10.0,CHHATTISGARH,3776191,3689788,389933,1262876,2036979,2542557,5242509,2540789,5238079,2459028,2132052,3998142,172904,23070,1161768,46513571,208185,7983939,762099,34094781,15862,43685276,88592291,13086,78849,199200,59266,200173,59567,94383033,977928,5701983,5676374,25609,16148182773,417401,414132,3269,811014066,1773903,6257391,8534868,8326600,9150547,8804667,6806107,6937880,10720801,539000,20742563,84077031,,,,,,1097429,1605540,1388162,234405,146883,145315,146264,114922,293414,409594,607051,889556,2037467,3079367,2583686,375179,229238,221440,227830,178918,461373,653819,980399,1517901,817340,1291378,1170560,184891,117389,119868,120122,91551,223773,320670,462002,618406,14075129,25651552,18967073,2199684,1400726,1409999,1420893,1076412,2820104.0,4413200,6669057,8490498
