,Sno.,State Name,District Name,Total households applied for job card,Total job cards issued,Total job cards (SC),Total job cards (ST),Total job cards (non-SC/ST),Total households demanded work,Total persons demanded work,Total households allotted work,Total persons allotted work,Total muster rolls filled,Total households worked,Total persons worked,Total households reached 100 day limit,Total persons with disability,Total households worked (non-SC/ST),Total person-days worked (non-SC/ST),Total SC households worked,Total person-days worked by SCs,Total ST households worked,Total person-days worked by STs,Total land reform/IAY households worked,Total person-days worked by women,Total person-days,Total SC households over 100 day limit,Total ST households over 100 day limit,"Labour exp. (disbursed, Rs. In Lakhs)","Material exp. (disbursed, Rs. In Lakhs)","Labour exp. (disbursed + pending, Rs. In Lakhs)","Material exp. (disbursed + pending, Rs. In Lakhs)",Amount sanctioned (Rs. In Lakhs),Total works,Total bank accounts,Total individual bank accounts,Total joint bank accounts,Amount disbursed to bank accounts,Total post office accounts,Total individual post office accounts,Total joint post office accounts,Amount disbursed to post office accounts,Total households completed person-days in range:1-10,Total households completed<br>person-days in range:11-20,Total households completed<br>person-days in range:21-30,Total households completed<br>person-days in range:31-40,Total households completed<br>person-days in range:41-50,Total households completed<br>person-days in range:51-60,Total households completed<br>person-days in range:61-70,Total households completed<br>person-days in range:71-80,Total households completed<br>person-days in range:81-99,Total households completed<br>person-days in range:100,Total households completed<br>person-days in range:>100,Total households completed<br>person-days in range:>14,Total workers employed<br>in age group:18-30yrs,Total workers employed<br>in age group:30-40yrs,Total workers employed<br>in age group:40-50yrs,Total workers employed<br>in age group:50-60yrs,Total workers employed<br>in age group:>60yrs,Total households demanded<br>work(Apr),Total households demanded<br>work(May),Total households demanded<br>work(Jun),Total households demanded<br>work(Jul),Total households demanded<br>work(Aug),Total households demanded<br>work(Sep),Total households demanded<br>work(Oct),Total households demanded<br>work(Nov),Total households demanded<br>work(Dec),Total households demanded<br>work(Jan),Total households demanded<br>work(Feb),Total households demanded<br>work(Mar),Total persons demanded work(Apr),Total persons demanded work(May),Total persons demanded work(Jun),Total persons demanded work(Jul),Total persons demanded work(Aug),Total persons demanded work(Sep),Total persons demanded work(Oct),Total persons demanded work(Nov),Total persons demanded work(Dec),Total persons demanded work(Jan),Total persons demanded work(Feb),Total persons demanded work(Mar),Total households worked(Apr),Total households worked(May),Total households worked(Jun),Total households worked(Jul),Total households worked(Aug),Total households worked(Sep),Total households worked(Oct),Total households worked(Nov),Total households worked(Dec),Total households worked(Jan),Total households worked(Feb),Total households worked(Mar),Total persons worked(Apr),Total persons worked(May),Total persons worked(Jun),Total persons worked(Jul),Total persons worked(Aug),Total persons worked(Sep),Total persons worked(Oct),Total persons worked(Nov),Total persons worked(Dec),Total persons worked(Jan),Total persons worked(Feb),Total persons worked(Mar)
10,11.0,NAGALAND,ZUNHEBOTO,37807,37807,0,37649,158,33371,33487,33351,33457,2548,33346,33434,0,5,9,261,0,0,33337,1046773,12,258315,1047034,0,0,1094,799,3241,799,5606366,2312,13869,13833,36,26205120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,971,6400,8423,8201,9439,0,32891,20713,23524,9130,5673,2164,1323,0,0,0,0,0,32903,20713,23537,9130,5673,2164,1323,0,0,0,0,0,29933,23053,31988,13199,5673,5580,0,0,0,0,0,0,213621,204980,418226,147792,28085,34330,0,0,0,0,0
11,12.0,ANDHRA PRADESH,ANANTAPUR,877234,877234,155641,39130,682463,484035,918150,483699,917465,667412,406251,730167,56708,9383,308407,17928368,77858,4479159,19986,1195851,75570,12558039,23603378,0,0,52802,17647,54882,21853,451909,520355,979889,979864,25,5035986807,145,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57936,140199,200895,183928,146987,336462,398708,442365,439999,367073,312136,251552,233710,200984,0,0,0,607218,726905,821297,813148,663250,556137,441637,409233,344415,0,0,0,170204,290482,344359,294480,149319,95945,51821,23672,53,0,0,0,2218863,6063196,8026437,4068916,1683352,897765,462354,182247,248,0,0,0
12,13.0,ANDHRA PRADESH,CHITTOOR,732729,732729,189925,37839,504965,366023,624200,365403,623105,552949,312586,506412,45596,5663,208206,11099499,91439,4855909,12941,705070,78815,9758644,16660478,0,0,37353,23448,39142,28627,447912,624485,801020,800984,36,3676845146,409,409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28920,75587,133730,134741,133306,204852,254164,299697,298443,236799,183462,152246,125570,69405,0,0,0,323081,411827,493898,483999,371258,278715,225689,183528,98546,0,0,0,131528,192891,230676,209570,138896,100336,72476,39753,56,0,0,0,1892766,3693175,4447116,2863986,1700730,1033398,717325,311721,261,0,0,0
13,14.0,ANDHRA PRADESH,CUDDAPAH,577062,577062,132493,18647,425922,287502,492570,287235,492066,361143,250624,402905,25773,4042,183770,9618714,60856,3102778,5998,339034,57615,7768907,13060526,0,0,30439,23885,30915,27132,328827,383412,503817,503798,19,2660094832,68742,68742,0,4688959,0,0,0,0,0,0,0,0,0,0,0,0,25406,70747,110496,110059,86149,198916,241808,259731,237969,168362,149848,89756,55357,41633,0,0,0,322813,399276,433950,387523,264423,232025,133948,81892,62419,0,0,0,121842,192605,215876,167052,90646,62695,28718,11864,19,0,0,0,1534305,3747443,4213798,1917627,826427,514184,222880,83766,96,0,0,0
14,15.0,ANDHRA PRADESH,EAST GODAVARI,903005,903005,239419,96088,567498,413076,625504,412839,625197,554153,418715,618857,26367,10323,231993,9158904,127327,5615369,59395,3292300,74107,9248196,18066573,0,0,41729,30042,42423,36162,523775,420836,735090,735061,29,3200042355,142493,142493,0,176720791,0,0,0,0,0,0,0,0,0,0,0,0,31791,125761,165553,158941,136725,296817,360440,362171,252420,116717,97564,121011,116389,70255,0,0,0,428378,531622,534305,356163,154825,128188,158613,151140,87295,0,0,0,250928,349752,354022,184647,60846,49894,64878,55711,60,0,0,0,3085131,6060291,5549201,1584354,491243,373992,494197,427875,289,0,0,0
15,16.0,ANDHRA PRADESH,GUNTUR,835563,835563,249233,59533,526797,393844,696294,393050,694797,261278,335794,571313,5880,4033,202728,5634838,114135,3561450,18931,529169,49581,5158820,9725457,0,0,21480,15629,21776,20003,340288,363198,657607,657575,32,1685306421,87,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33771,131264,171902,140565,94199,251844,326439,317052,181142,70016,19189,16555,37213,25046,0,0,0,433519,569636,550853,307381,115135,30914,26404,59234,39584,0,0,0,167813,257807,232253,101999,39557,13272,5717,5239,67,0,0,0,2082164,3610383,2790804,790403,274980,84035,49407,43003,278,0,0,0
16,17.0,ANDHRA PRADESH,KRISHNA,668402,668402,240116,27231,401055,342035,609974,341273,608672,311656,289643,490333,9694,5000,164766,5933094,114631,4470010,10246,399632,24707,5902246,10802736,0,0,24133,15004,24550,18911,374497,298056,588643,588624,19,2004970254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28382,128108,150053,114515,69322,234741,293330,307625,215553,50013,18264,13955,28309,22796,0,0,0,404769,511826,540778,367816,79536,28429,21665,43597,34359,0,0,0,161621,232466,237401,113896,34198,9476,5339,4377,58,0,0,0,2018380,3741814,3894690,846548,176548,58068,37553,28890,245,0,0,0
17,18.0,ANDHRA PRADESH,KURNOOL,856015,856015,193080,21586,641349,453451,865198,452849,864019,423557,353796,626023,7610,4866,257142,8791267,89979,3082668,6675,249642,103448,6689165,12123577,0,0,26332,15863,26924,18766,374170,481978,850533,850502,31,2311534468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65768,162735,181010,138368,78110,310133,391561,416857,353814,198224,230935,177388,160315,123491,0,0,0,573234,730753,782062,658253,367049,425664,325998,293080,223535,0,0,0,142437,285504,286652,147385,42326,52357,27305,13524,8,0,0,0,1513341,4385051,4103512,1081616,340024,389447,209298,101268,20,0,0,0
18,19.0,ANDHRA PRADESH,NELLORE,625734,625734,198863,78692,348179,319524,540902,318080,538431,332236,249088,393195,7839,3268,145543,5369883,86268,2969005,17277,571184,54681,5114873,8910072,0,0,19621,21862,19802,25450,308597,395901,528296,528278,18,1683877385,842,842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22414,77191,107600,103827,82645,149876,224452,274233,258305,228250,203680,182080,132770,49718,0,0,0,237674,363589,452361,426544,372670,329597,289514,208022,76034,0,0,0,56572,126652,176005,171282,138603,94914,77789,26565,3,0,0,0,469513,1436382,2460647,1785162,1299687,741549,575135,141981,16,0,0,0
19,20.0,ANDHRA PRADESH,PRAKASAM,803020,803020,223994,42922,536104,536863,960400,535903,958826,611088,476940,815610,39250,6669,325319,16461153,138088,6732208,13533,632907,86417,13415078,23826268,0,0,52449,40406,53556,44823,545997,490567,891983,891940,43,4569715271,559,559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60615,192827,219221,194165,149467,453499,482573,509395,463155,234696,132308,118728,85223,135483,0,0,0,787932,844923,898949,798207,388888,215822,195861,137100,223889,0,0,0,302025,396382,430536,279314,77861,35817,24704,11271,141,0,0,0,4234464,7357608,8609231,2486803,607374,268129,186364,75473,822,0,0,0
20,21.0,ANDHRA PRADESH,SRIKAKULAM,619898,619898,64207,44367,511324,463951,799773,463676,799405,524840,427520,683687,16903,9779,349632,15272151,43604,2078391,34284,2312043,69385,12318458,19662585,0,0,43271,22275,43879,26355,465348,472674,649457,649448,9,3352837641,140649,140649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41324,149360,181187,173273,138881,338520,416067,441352,405842,156502,94570,102737,105961,126469,0,0,0,547112,681186,740168,669701,247734,151150,164825,169977,196976,0,0,0,97785,366275,405635,295515,61261,34807,37063,32184,925,0,0,0,715840,6229868,8979102,2748070,341597,203889,243444,198290,2485,0,0,0
21,22.0,ANDHRA PRADESH,VISAKHAPATANAM,551746,551746,41302,171159,339285,268943,437570,268936,437648,483808,380607,639106,53350,5624,221322,11347078,23978,1189069,135307,9446103,72774,12326748,21982250,0,0,51474,19357,52194,25559,474104,447784,595871,595861,10,3973568277,108006,108006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53173,187078,190388,139440,69017,190783,213523,248030,255080,178501,89890,87915,86916,114050,0,0,0,295812,335800,398324,400817,266524,132137,129396,128984,164995,0,0,0,143463,293572,351333,308405,100275,35571,27958,18283,85,0,0,0,1322249,5551635,9364165,4290225,775391,315125,241797,121498,165,0,0,0
22,23.0,ANDHRA PRADESH,VIZIANAGARAM,549393,549393,61769,67746,419878,341499,628019,341432,627850,468405,402565,696257,40729,11475,306235,18458031,45410,2762750,50920,3032814,88614,14360030,24253595,0,0,57563,19915,58764,22807,446143,491949,638275,638252,23,4573721720,40048,40048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45473,146922,184679,182777,137529,286655,309556,329798,296247,128928,77397,71973,35499,65126,0,0,0,483722,532723,592696,503914,207244,123531,113901,55833,104149,0,0,0,227241,358883,389499,240106,42164,26029,19018,9929,46,0,0,0,1758557,9179828,10569976,2177701,243844,147263,117961,58308,157,0,0,0
23,24.0,ANDHRA PRADESH,WEST GODAVARI,786103,786103,250557,42367,493179,351000,583663,350795,583398,437198,333164,530680,13293,4677,192432,6821938,118048,4857834,22684,1147395,49573,6852107,12827167,0,0,28334,26133,28712,32036,446596,329561,750425,750355,70,2519111471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42467,137908,147088,117236,85960,215705,303227,312211,191216,99407,106963,127780,129304,86305,0,0,0,350672,493148,511568,308803,156302,168062,197853,198052,129092,0,0,0,157150,271769,277468,129550,60052,61590,59440,40330,16,0,0,0,1758829,4152416,4212677,1035520,403151,474214,484029,306284,47,0,0,0
24,25.0,ARUNACHAL PRADESH,ANJAW,9008,8873,0,8727,146,8073,8111,8062,8097,254,7767,7785,0,1,132,5183,0,0,7635,312699,1,159728,317882,0,0,1346,341,1434,482,5964,282,8606,8547,59,139683488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2066,2059,1545,1116,999,0,2429,1020,6141,0,4888,3295,879,382,0,0,0,0,2435,1020,6142,0,4888,3295,879,382,0,0,0,0,2372,471,5816,0,4563,3035,520,0,0,0,0,0,35674,7065,137870,0,86268,41075,9930,0,0,0,0
25,26.0,ARUNACHAL PRADESH,CHANGLANG,14710,14329,2,11239,3088,12856,15235,12835,15209,2422,12758,15051,24,14,2854,108589,2,90,9902,493189,25,195026,601868,0,0,2111,776,2174,1412,4008,1416,16242,10984,5258,240753459,354,350,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1197,4206,4587,2900,2161,7542,3559,1286,753,987,2358,1592,1212,971,0,0,0,8000,3995,1484,880,1174,3105,1886,1614,1157,0,0,0,7408,6211,5565,3046,1092,2426,1696,1228,138,0,0,0,150708,159973,103340,49801,18508,64841,28762,25517,418,0,0,0
26,27.0,ARUNACHAL PRADESH,EAST KAMENG,28937,27838,60,27037,741,26739,27150,26629,27026,3982,26302,26680,1,67,720,38720,60,3410,25522,1206787,160,537451,1248917,0,0,3589,1086,4289,1870,9030,783,30228,29264,964,390232496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8819,6029,5654,4191,1810,9513,14664,15353,12939,684,12587,10317,10580,1508,0,0,0,9537,14694,15363,12953,684,12600,10322,10589,1508,0,0,0,9369,15003,14951,13689,694,12308,10263,8941,0,0,0,0,121632,249521,228291,189900,8571,165060,147883,138059,0,0,0,0
27,28.0,ARUNACHAL PRADESH,EAST SIANG,9733,9655,11,9479,165,9504,10008,9504,10008,981,9374,9784,0,4,157,3799,11,359,9206,218751,3,93687,222909,0,0,835,337,860,412,1606,807,11257,10922,335,83201859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,849,2276,2617,2289,1753,748,4696,4740,821,287,712,2379,2478,0,0,0,0,748,4740,4773,825,287,712,2380,2480,0,0,0,0,698,4551,4723,759,123,703,2348,2246,0,0,0,0,9874,60220,64318,16183,1662,9375,27408,33869,0,0,0,0
28,29.0,ARUNACHAL PRADESH,KURUNG KUMEY,16723,16655,7,15753,895,15462,16094,15446,16071,627,13721,13926,0,13,679,20417,5,147,13037,369693,36,180045,390257,0,0,982,399,1300,587,639212,550,18859,17598,1261,100039984,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3321,3903,3261,2193,1248,1310,2513,11019,8026,577,5896,2192,743,552,0,0,0,1663,2513,11086,8089,580,5908,2192,755,552,0,0,0,0,2048,9278,6299,490,5059,1733,109,0,0,0,0,0,29149,137593,91788,7365,98776,23906,1680,0,0,0,0
29,30.0,ARUNACHAL PRADESH,LOHIT,5222,5194,23,4487,684,5096,5143,5096,5143,619,5036,5083,218,7,681,50039,23,1836,4332,313978,0,179682,365853,0,0,1007,180,1010,548,2140,204,5394,5353,41,100555666,21,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,782,1801,1167,754,579,0,1043,2616,2409,3440,3638,2853,2285,2201,0,0,0,0,1043,2616,2410,3442,3644,2854,2289,2201,0,0,0,0,1043,2617,2410,3439,3637,2825,2285,0,0,0,0,0,14515,71319,58375,43158,84304,33190,60992,0,0,0,0
30,31.0,ARUNACHAL PRADESH,LOWER DIBANG VALLEY,8202,7740,17,7144,579,3981,4002,3872,3892,535,3838,3856,0,3,252,4942,4,83,3582,62814,2204,28575,67839,0,0,338,185,397,207,1091,1340,8019,7328,691,33783826,226,224,2,6528,0,0,0,0,0,0,0,0,0,0,0,0,478,1084,985,692,617,1249,1520,1512,824,908,1067,561,40,0,0,0,0,1249,1523,1513,824,909,1067,561,40,0,0,0,0,1177,1140,1495,753,906,1060,556,0,0,0,0,0,9019,15575,16397,8402,11626,5360,1460,0,0,0,0,0
31,32.0,ARUNACHAL PRADESH,LOWER SUBANSIRI,15074,14696,17,14177,502,4966,5860,4959,5847,544,4465,5145,0,32,91,2446,7,218,4367,110341,1824,55507,113005,0,0,221,56,282,69,2332,832,12606,12559,47,32059618,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,701,1470,1181,993,800,118,780,225,2573,479,2089,1022,1130,305,0,0,0,118,925,253,2613,577,2316,1096,1402,407,0,0,0,118,780,152,2479,407,2024,1025,802,0,0,0,0,1770,21797,3044,24832,5394,29836,14037,12295,0,0,0,0
32,33.0,ARUNACHAL PRADESH,PAPUM PARE,20032,19999,8,19655,336,20135,20396,20090,20323,2900,19548,19668,0,8,330,14767,8,398,19210,812400,45,405437,827565,0,0,2776,491,2911,953,7538,934,20542,20183,359,307818272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5605,5724,4273,2911,1155,3164,16254,17642,465,0,9518,11350,14419,5584,0,0,0,3165,16255,17650,465,0,9518,11351,14435,5584,0,0,0,2922,17246,17086,449,0,9389,11238,10801,0,0,0,0,41204,226014,186272,3047,0,131446,154966,84616,0,0,0,0
33,34.0,ARUNACHAL PRADESH,TAWANG,8564,8468,3,8345,120,8025,8132,8019,8122,591,7964,8022,0,8,117,6866,2,48,7845,300891,1,174229,307805,0,0,820,97,841,338,1875,1230,9617,9441,176,87483970,78,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,706,2584,1976,1290,1466,0,4975,2457,2567,388,1204,1119,3088,330,0,0,0,0,4991,2484,2569,389,1206,1120,3101,331,0,0,0,0,4950,4233,2986,1476,1169,315,2165,0,0,0,0,0,98115,93388,57329,17768,7894,4836,28475,0,0,0,0
34,35.0,ARUNACHAL PRADESH,TIRAP,10187,9970,2,9966,2,9191,11138,9191,11135,4103,9180,11101,171,1,2,26,0,0,9178,504924,12,156910,504950,0,0,1608,428,1665,909,2271,1045,12337,8012,4325,167407457,80,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1229,2854,2637,2236,2145,1455,5086,6247,7101,3979,4002,4736,3350,825,0,0,0,1527,5580,6955,7629,4253,4405,5040,3409,894,0,0,0,1301,5152,6832,7516,5361,4259,4909,3599,569,0,0,0,7961,79765,99562,109007,64665,53857,50042,36503,3588,0,0,0
35,36.0,ARUNACHAL PRADESH,UPPER DIBANG VALLEY,2730,2570,14,2490,66,1950,1979,1925,1945,50,1902,1918,0,4,49,916,14,203,1839,35262,1,19010,36381,0,0,174,87,179,88,830,189,2345,2341,4,17789684,210,210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,591,543,397,247,140,0,731,717,417,37,445,137,0,105,0,0,0,0,733,738,418,37,447,140,0,106,0,0,0,0,727,587,415,37,445,106,0,0,0,0,0,0,15233,8817,4729,952,4470,2180,0,0,0,0,0
36,37.0,ARUNACHAL PRADESH,UPPER SIANG,5444,5419,1,5381,37,5374,5379,5330,5335,555,5264,5268,0,2,27,708,1,10,5236,127813,3,38046,128531,0,0,478,133,496,167,1447,472,5414,5381,33,46070185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,424,1337,1909,1219,379,1612,1027,2119,866,2361,1933,187,9,0,0,0,0,1612,1027,2119,866,2361,1933,187,9,0,0,0,0,1430,1168,2028,264,2234,1824,153,9,0,0,0,0,13502,17520,30420,3960,32464,28235,2295,135,0,0,0,0
