,Sno.,State Name,District Name,Total households applied for job card,Total job cards issued,Total job cards (SC),Total job cards (ST),Total job cards (non-SC/ST),Total households demanded work,Total persons demanded work,Total households allotted work,Total persons allotted work,Total muster rolls filled,Total households worked,Total persons worked,Total households reached 100 day limit,Total persons with disability,Total households worked (non-SC/ST),Total person-days worked (non-SC/ST),Total SC households worked,Total person-days worked by SCs,Total ST households worked,Total person-days worked by STs,Total land reform/IAY households worked,Total person-days worked by women,Total person-days,Total SC households over 100 day limit,Total ST households over 100 day limit,"Labour exp. (disbursed, Rs. In Lakhs)","Material exp. (disbursed, Rs. In Lakhs)","Labour exp. (disbursed + pending, Rs. In Lakhs)","Material exp. (disbursed + pending, Rs. In Lakhs)",Amount sanctioned (Rs. In Lakhs),Total works,Total bank accounts,Total individual bank accounts,Total joint bank accounts,Amount disbursed to bank accounts,Total post office accounts,Total individual post office accounts,Total joint post office accounts,Amount disbursed to post office accounts,Total households completed person-days in range:1-10,Total households completed<br>person-days in range:11-20,Total households completed<br>person-days in range:21-30,Total households completed<br>person-days in range:31-40,Total households completed<br>person-days in range:41-50,Total households completed<br>person-days in range:51-60,Total households completed<br>person-days in range:61-70,Total households completed<br>person-days in range:71-80,Total households completed<br>person-days in range:81-99,Total households completed<br>person-days in range:100,Total households completed<br>person-days in range:>100,Total households completed<br>person-days in range:>14,Total workers employed<br>in age group:18-30yrs,Total workers employed<br>in age group:30-40yrs,Total workers employed<br>in age group:40-50yrs,Total workers employed<br>in age group:50-60yrs,Total workers employed<br>in age group:>60yrs,Total households demanded<br>work(Apr),Total households demanded<br>work(May),Total households demanded<br>work(Jun),Total households demanded<br>work(Jul),Total households demanded<br>work(Aug),Total households demanded<br>work(Sep),Total households demanded<br>work(Oct),Total households demanded<br>work(Nov),Total households demanded<br>work(Dec),Total households demanded<br>work(Jan),Total households demanded<br>work(Feb),Total households demanded<br>work(Mar),Total persons demanded work(Apr),Total persons demanded work(May),Total persons demanded work(Jun),Total persons demanded work(Jul),Total persons demanded work(Aug),Total persons demanded work(Sep),Total persons demanded work(Oct),Total persons demanded work(Nov),Total persons demanded work(Dec),Total persons demanded work(Jan),Total persons demanded work(Feb),Total persons demanded work(Mar),Total households worked(Apr),Total households worked(May),Total households worked(Jun),Total households worked(Jul),Total households worked(Aug),Total households worked(Sep),Total households worked(Oct),Total households worked(Nov),Total households worked(Dec),Total households worked(Jan),Total households worked(Feb),Total households worked(Mar),Total persons worked(Apr),Total persons worked(May),Total persons worked(Jun),Total persons worked(Jul),Total persons worked(Aug),Total persons worked(Sep),Total persons worked(Oct),Total persons worked(Nov),Total persons worked(Dec),Total persons worked(Jan),Total persons worked(Feb),Total persons worked(Mar)
0,1.0,NAGALAND,DIMAPUR,74780,74588,3611,66958,4019,70622,73942,70572,73656,7024,70296,73362,0,176,3848,152744,3533,130662,62915,2366257,211,858851,2649663,0,0,3359,2043,8172,2074,24582,4869,40667,39207,1460,120033515,4,4,0,14813,0,0,0,0,0,0,0,0,0,0,0,0,5666,20185,21008,16251,10252,7171,60304,64961,23706,47245,20786,31765,19538,233,0,0,0,7171,60306,64963,23711,47245,20793,31766,19540,233,0,0,0,6807,65901,64850,26670,46594,26637,31493,17332,404,0,0,0,20435,644289,618878,224911,436263,250250,279873,173632,1432,0,0,0
1,2.0,NAGALAND,KIPHIRE,23848,23848,4,23788,56,23052,25983,23052,25944,1068,23052,25934,0,5,56,3101,4,228,22992,1050838,44,373691,1054167,0,0,1326,901,2370,933,9319,2848,3485,3456,29,18853826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3623,8749,6086,4073,3403,178,22773,11931,15671,16271,15192,22385,11203,8785,0,0,0,178,22782,11959,15681,16272,15192,22397,11229,8785,0,0,0,178,22773,11771,13897,16233,10846,12662,9293,0,0,0,0,1574,313879,113803,109806,138320,112257,177023,87505,0,0,0,0
2,3.0,NAGALAND,KOHIMA,53789,53542,6,53337,199,31581,33078,30691,32000,2429,30610,31894,0,13,168,4500,5,315,30437,1143647,3,489875,1148462,0,0,1371,883,3583,912,14923,3375,19954,19877,77,66827374,7,7,0,22272,0,0,0,0,0,0,0,0,0,0,0,0,2257,8559,7922,6639,6517,0,27422,24299,17531,23858,23112,6127,8390,2947,0,0,0,0,27499,24846,17546,24070,23416,6129,8823,2947,0,0,0,0,26591,23627,17529,21032,15319,4669,2149,0,0,0,0,0,331789,239146,133885,224283,165380,45383,8596,0,0,0,0
3,4.0,NAGALAND,LONGLENG,21738,21738,2,21631,105,21566,28154,21566,27934,572,21563,27839,0,4,105,2683,2,40,21456,591694,0,184195,594417,0,0,1016,678,2047,818,5216,2987,7086,6582,504,22549811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1398,6722,7728,6988,5003,0,21552,21291,21254,5129,11304,21253,21248,0,0,0,0,0,21573,21300,21270,5183,11307,21271,21260,0,0,0,0,0,21552,21238,20540,5120,11125,21232,5120,0,0,0,0,0,225958,96720,59656,10756,34207,151760,15360,0,0,0,0
4,5.0,NAGALAND,MOKOKCHUNG,35744,35736,2,35364,370,34156,34520,34117,34474,2135,34112,34468,0,15,297,13852,2,100,33813,1532796,5,715777,1546748,0,0,1300,867,4436,867,7463,2110,27460,27083,377,99310425,193,193,0,920064,0,0,0,0,0,0,0,0,0,0,0,0,2470,7675,8227,6818,9278,0,31674,29130,29244,24795,23008,21780,11476,7384,0,0,0,0,31689,29139,29246,24795,23009,21780,11476,7385,0,0,0,0,31673,29114,29240,24795,23009,18941,9416,1150,0,0,0,0,354075,264766,285355,176011,208291,178176,75474,4600,0,0,0
5,6.0,NAGALAND,MON,50159,46339,10,45729,600,45508,46225,45508,46225,672,45475,46192,0,12,590,28336,10,441,44875,2043253,2,828481,2072030,0,0,1948,1266,5562,1296,10468,4254,24112,24010,102,96909826,1,1,0,1780,0,0,0,0,0,0,0,0,0,0,0,0,6037,12488,11377,9806,6484,25733,43322,16540,45206,35979,21557,24091,10062,0,0,0,0,25733,43322,16540,45206,35979,21557,24091,10062,0,0,0,0,25733,42938,16540,45005,35979,21284,23538,8814,0,0,0,0,51466,656579,184471,510770,332964,112966,186120,36694,0,0,0,0
6,7.0,NAGALAND,PEREN,28050,27969,46,27784,139,27588,34470,27588,34465,1907,27586,34064,0,31,138,2803,22,190,27426,586643,1,169860,589636,0,0,1282,970,2320,1099,6368,2182,11984,11959,25,36161705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2587,10515,9610,7459,3893,0,27572,27472,19489,15671,23177,8012,0,485,0,0,0,0,27579,27481,19495,15678,23180,8013,0,486,0,0,0,0,26694,26310,19206,15283,23177,712,0,0,0,0,0,0,267065,131658,56852,30579,101444,2038,0,0,0,0,0
7,8.0,NAGALAND,PHEK,35270,35047,27,31449,3571,35047,35105,35047,35104,2166,34723,34776,0,116,3570,149807,27,945,31126,1139156,122,450158,1289908,0,0,1822,1190,3261,1318,12081,3333,19662,19454,208,91809850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1983,7772,8738,7291,8992,7961,30856,34546,19884,26610,19075,22842,11942,3095,0,0,0,7961,30857,34579,19884,26610,19075,22842,11942,3095,0,0,0,6234,28786,34196,24838,23544,23729,20181,1999,0,0,0,0,35231,302145,342307,154022,137081,175838,132951,10333,0,0,0,0
8,9.0,NAGALAND,TUENSANG,48742,48681,8,42180,6493,34465,35818,34411,35748,1547,34289,35559,0,14,5182,270648,5,240,29102,1397315,3,655429,1668203,0,0,1798,1212,5218,1221,10968,5525,20657,20535,122,116820864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4185,10215,8965,6868,5326,0,30396,31839,10976,26828,22621,28000,20492,7070,0,0,0,0,30412,31842,10979,26832,22623,28005,20495,7079,0,0,0,0,30374,31833,19607,28796,27351,30658,18797,3266,0,0,0,0,288319,252656,170749,238709,212109,310193,179138,16330,0,0,0
9,10.0,NAGALAND,WOKHA,34833,34832,3,33056,1773,34124,34184,34123,34183,1209,33227,33282,0,4,1749,47007,3,63,31475,840037,3,357250,887107,0,0,2071,1285,3185,1386,7432,4522,15405,15366,39,86301354,2,2,0,9235,0,0,0,0,0,0,0,0,0,0,0,0,4662,8467,8178,5792,6183,0,30537,32187,31037,21096,27644,28978,24718,8423,0,0,0,0,30582,32217,31037,21096,27644,28978,24718,8423,0,0,0,0,28338,30254,27898,21095,26282,26145,24297,201,0,0,0,0,157439,175039,179263,74717,99308,104312,96328,701,0,0,0
