,Sno.,State Name,District Name,Total households applied for job card,Total job cards issued,Total job cards (SC),Total job cards (ST),Total job cards (non-SC/ST),Total households demanded work,Total persons demanded work,Total households allotted work,Total persons allotted work,Total muster rolls filled,Total households worked,Total persons worked,Total households reached 100 day limit,Total persons with disability,Total households worked (non-SC/ST),Total person-days worked (non-SC/ST),Total SC households worked,Total person-days worked by SCs,Total ST households worked,Total person-days worked by STs,Total land reform/IAY households worked,Total person-days worked by women,Total person-days,Total SC households over 100 day limit,Total ST households over 100 day limit,"Labour exp. (disbursed, Rs. In Lakhs)","Material exp. (disbursed, Rs. In Lakhs)","Labour exp. (disbursed + pending, Rs. In Lakhs)","Material exp. (disbursed + pending, Rs. In Lakhs)",Amount sanctioned (Rs. In Lakhs),Total works,Total bank accounts,Total individual bank accounts,Total joint bank accounts,Amount disbursed to bank accounts,Total post office accounts,Total individual post office accounts,Total joint post office accounts,Amount disbursed to post office accounts,Total households completed<br>person-days in range:1-10,Total households completed<br>person-days in range:11-20,Total households completed<br>person-days in range:21-30,Total households completed<br>person-days in range:31-40,Total households completed<br>person-days in range:41-50,Total households completed<br>person-days in range:51-60,Total households completed<br>person-days in range:61-70,Total households completed<br>person-days in range:71-80,Total households completed<br>person-days in range:81-99,Total households completed<br>person-days in range:100,Total households completed<br>person-days in range:>100,Total households completed<br>person-days in range:>14,Total workers employed<br>in age group:18-30yrs,Total workers employed<br>in age group:30-40yrs,Total workers employed<br>in age group:40-50yrs,Total workers employed<br>in age group:50-60yrs,Total workers employed<br>in age group:>60yrs,Total households demanded<br>work(Apr),Total households demanded<br>work(May),Total households demanded<br>work(Jun),Total households demanded<br>work(Jul),Total households demanded<br>work(Aug),Total households demanded<br>work(Sep),Total households demanded<br>work(Oct),Total households demanded<br>work(Nov),Total households demanded<br>work(Dec),Total households demanded<br>work(Jan),Total households demanded<br>work(Feb),Total households demanded<br>work(Mar),Total persons demanded work(Apr),Total persons demanded work(May),Total persons demanded work(Jun),Total persons demanded work(Jul),Total persons demanded work(Aug),Total persons demanded work(Sep),Total persons demanded work(Oct),Total persons demanded work(Nov),Total persons demanded work(Dec),Total persons demanded work(Jan),Total persons demanded work(Feb),Total persons demanded work(Mar),Total households worked(Apr),Total households worked(May),Total households worked(Jun),Total households worked(Jul),Total households worked(Aug),Total households worked(Sep),Total households worked(Oct),Total households worked(Nov),Total households worked(Dec),Total households worked(Jan),Total households worked(Feb),Total households worked(Mar),Total persons worked(Apr),Total persons worked(May),Total persons worked(Jun),Total persons worked(Jul),Total persons worked(Aug),Total persons worked(Sep),Total persons worked(Oct),Total persons worked(Nov),Total persons worked(Dec),Total persons worked(Jan),Total persons worked(Feb),Total persons worked(Mar)
131,132.0,CHHATTISGARH,MUNGELI,127410,123138,27253,10743,85142,90932,193269,90913,193215,169733,73868,148650,14592,580,49512,2929600,17365,1001560,6991,418344,960,2066955,4349504,3222,1446,5756,343,5788,343,69871,59859,249256,247598,1658,632835363,20,20,0,0,38203,140983,220473,249773,308175,310265,287755,309456,649082,34400,1800939,4244980,12854,58173,42031,24092,11533,28010,37300,29355,8376,11308,9196,13516,13629,14304,37071,47807,41725,55213,74719,57894,15556,20999,16675,25040,24901,25843,71421,93047,79961,20311,28892,24762,7138,10210,9069,12945,13952,13109,28649,32116,27173,414688,688857,438388,109822,168308,138656,222811,257108,216725,556904,671788,465449
132,133.0,CHHATTISGARH,NARAYANPUR,22223,21345,481,17812,3052,13984,31201,13968,31156,15530,13039,28286,1513,89,1813,84258,255,12285,10971,500069,291,299965,596612,31,1268,978,155,984,156,62083,6149,31014,30805,209,62257804,3352,3346,6,9103265,10899,38166,48445,41290,53523,50608,35642,44880,79153,2500,190464,566149,2652,12069,7349,4372,1847,4727,5176,5241,423,428,919,1694,2472,3465,5320,5195,3644,8774,10253,10040,687,650,1674,3296,4662,6421,10247,9844,6583,3983,4447,4694,216,327,886,1646,2243,2951,4549,4597,3259,67594,84118,70113,2105,3724,14154,29180,36283,50689,92158,89495,56999
133,134.0,CHHATTISGARH,RAIGARH,227861,221114,33748,84908,102458,116381,220835,115470,218959,338202,98366,169566,5566,1186,43483,1817815,17252,853585,37631,1661027,4738,1766397,4332427,1184,2206,7239,1707,7266,1718,28461,76244,372060,370887,1173,744956455,40,40,0,19128,72756,247402,356863,305970,422638,472533,337935,506132,953225,19700,636984,4135778,10632,57266,49287,33489,18893,41027,43269,43796,14456,23167,20482,22013,17074,27754,32070,28157,28358,72814,77251,78509,22518,36449,32960,35824,26522,44571,52894,45711,46837,29629,34539,35511,8111,18296,17050,17927,15582,25014,28615,23490,21802,478029,592455,510472,92929,251062,249098,299106,251866,428093,500750,360913,317654
134,135.0,CHHATTISGARH,RAIPUR,150584,144499,26393,6599,111507,104722,226717,104681,226633,178690,89593,168309,11251,1731,70438,3581217,15138,751469,4017,201652,1511,2537354,4534338,1776,497,6376,1461,6385,1461,25718,37410,274363,271865,2498,679461659,2822,2809,13,0,52655,197871,317113,352031,414749,399206,374616,358085,715473,36200,1316339,4407040,11841,66750,48576,28612,12541,53066,65303,44091,5442,8609,8620,8262,6015,12105,43581,49290,45178,102677,126712,79248,7893,14822,15035,13462,9867,20070,81454,93464,84480,42479,56122,38683,4157,7666,8673,7759,5777,10622,30593,33508,30213,764509,1132223,487245,48501,150498,172625,136785,97535,183138,451398,490192,419689
135,136.0,CHHATTISGARH,RAJNANDAGON,262132,260457,17166,58516,184775,242834,463998,242825,463955,471305,228374,408904,54773,5185,159950,10270556,14995,980817,53429,4156744,644,9015594,15408117,3391,17380,22226,3820,22245,3829,462881,115747,531526,529892,1634,2534298366,185,184,1,813,72034,289050,536713,765615,976104,1141413,1186655,1203825,2220586,115500,6900760,15238149,24288,172172,124767,62973,24530,170421,177962,137175,21302,18040,18606,22290,30678,95844,120959,130074,153895,270167,284653,216426,33521,29586,29598,34635,47819,145932,181160,190697,235454,151083,165217,124049,17557,16534,16813,20294,22126,75438,101771,109440,114436,2786662,3310401,1872299,244276,308725,260241,336944,301607,1092199,1587253,1661697,1645813
136,137.0,CHHATTISGARH,SUKMA,52476,52042,682,44155,7205,45771,118946,45773,118905,90474,42736,106519,13047,2710,6291,424715,594,38499,35851,2551207,1411,1480391,3014421,167,11035,5136,801,5139,801,200394,24564,25768,25111,657,134393296,37052,36548,504,182957130,16672,69663,97466,103464,136808,165898,153570,185553,418170,26200,1640957,2965704,7812,44231,25477,17701,11304,20334,25045,24728,3389,4713,5660,20273,19693,24038,26532,23844,23814,50088,60412,60171,7594,10038,11503,44592,44638,52864,58935,48785,47822,14549,19115,21570,3152,4284,4680,14031,12029,17138,22419,20029,17481,261335,401867,410101,79682,76693,81827,219982,183239,280156,425253,334662,259624
137,138.0,CHHATTISGARH,SURAJPUR,148606,143465,6555,65129,71781,121181,229044,121175,229034,260196,110540,198532,40488,894,53598,3995470,4837,366895,52105,4251275,3612,3611269,8613640,1606,20383,12022,3260,12044,3270,193103,36969,248457,247805,652,1422825890,2890,2890,0,0,32903,137322,235429,248613,358303,420477,393147,479291,1019107,61800,5227057,8524035,29850,74806,53631,29810,10440,61170,58452,52628,19618,12305,16456,41481,45060,60336,68539,64591,57606,103987,99393,88261,30359,18590,24922,67103,72676,99605,113721,104541,92372,44253,47941,43563,11951,9983,13767,31450,33552,51751,59661,56321,44042,905362,1095872,817647,128953,124184,192117,556948,600980,1038381,1270695,1108328,774173
138,139.0,CHHATTISGARH,SURGUJA,133561,128177,5392,72718,50067,90705,162704,90693,162695,212355,72421,119690,10730,481,27195,1377634,3028,166245,42198,2375889,3025,1572466,3919768,424,6858,6608,2026,6650,2071,1074474,55089,215014,213833,1181,666561253,56,56,0,1548,49653,143356,233367,220556,292443,298500,327745,276670,708082,30400,1339008,3796270,9299,44041,36590,21757,7966,36565,45288,32303,7652,7536,7979,12316,17016,39502,35255,34234,31372,60939,74938,52095,10592,10593,10965,17855,26432,66657,56753,55202,49482,20966,29489,23025,5399,6367,7327,10878,12076,27331,27754,25726,21799,406476,574365,366932,68434,92551,111918,222536,217117,560200,493501,457606,348132
139,140.0,GOA,NORTH GOA,19250,18657,683,981,16993,901,920,896,915,139,759,773,0,0,639,8535,26,412,94,1199,0,7979,10146,0,0,20,4,24,10,644030,1634,11892,11701,191,2035810,0,0,0,0,2071,3940,2379,255,403,895,188,0,0,0,0,6440,6,110,317,226,114,98,149,200,55,68,94,91,92,96,320,221,163,102,151,203,56,69,96,93,95,98,325,226,165,52,138,182,55,55,35,87,85,48,268,204,144,467,1346,1715,240,600,165,913,550,225,1696,1337,892
140,141.0,GOA,SOUTH GOA,17700,14697,107,8676,5914,405,411,404,410,117,382,388,0,0,43,1071,1,16,338,3726,2,2650,4813,0,0,6,3,12,8,366,1710,8059,8006,53,527454,5,5,0,0,823,1075,1204,950,485,276,0,0,0,0,0,3450,4,74,141,97,72,10,3,0,39,42,155,107,92,92,49,24,30,10,3,0,39,43,156,108,95,94,50,25,30,10,0,0,39,42,153,84,92,92,49,24,29,123,0,0,195,457,631,776,924,1075,398,151,83
