Sno.,State Name,Total households applied for job card,Total job cards issued,Total job cards (SC),Total job cards (ST),Total job cards (non-SC/ST),Total households demanded work,Total persons demanded work,Total households allotted work,Total persons allotted work,Total muster rolls filled,Total households worked,Total persons worked,Total households reached 100 day limit,Total persons with disability,Total households worked (non-SC/ST),Total person-days worked (non-SC/ST),Total SC households worked,Total person-days worked by SCs,Total ST households worked,Total person-days worked by STs,Total land reform/IAY households worked,Total person-days worked by women,Total person-days,Total SC households over 100 day limit,Total ST households over 100 day limit,"Labour exp. (disbursed, Rs. In Lakhs)","Material exp. (disbursed, Rs. In Lakhs)","Labour exp. (disbursed + pending, Rs. In Lakhs)","Material exp. (disbursed + pending, Rs. In Lakhs)",Amount sanctioned (Rs. In Lakhs),Total works,Total bank accounts,Total individual bank accounts,Total joint bank accounts,Amount disbursed to bank accounts,Total post office accounts,Total individual post office accounts,Total joint post office accounts,Amount disbursed to post office accounts,Total households completed<br>person-days in range:1-10,Total households completed<br>person-days in range:11-20,Total households completed<br>person-days in range:21-30,Total households completed<br>person-days in range:31-40,Total households completed<br>person-days in range:41-50,Total households completed<br>person-days in range:51-60,Total households completed<br>person-days in range:61-70,Total households completed<br>person-days in range:71-80,Total households completed<br>person-days in range:81-99,Total households completed<br>person-days in range:100,Total households completed<br>person-days in range:>100,Total households completed<br>person-days in range:>14,Total workers employed<br>in age group:,Total workers employed<br>in age group:30-40yrs,Total workers employed<br>in age group:40-50yrs,Total workers employed<br>in age group:50-60yrs,Total workers employed<br>in age group:>60yrs,Total households demanded<br>work(Apr),Total households demanded<br>work(May),Total households demanded<br>work(Jun),Total households demanded<br>work(Jul),Total households demanded<br>work(Aug),Total households demanded<br>work(Sep),Total households demanded<br>work(Oct),Total households demanded<br>work(Nov),Total households demanded<br>work(Dec),Total households demanded<br>work(Jan),Total households demanded<br>work(Feb),Total households demanded<br>work(Mar),Total persons demanded work(Apr),Total persons demanded work(May),Total persons demanded work(Jun),Total persons demanded work(Jul),Total persons demanded work(Aug),Total persons demanded work(Sep),Total persons demanded work(Oct),Total persons demanded work(Nov),Total persons demanded work(Dec),Total persons demanded work(Jan),Total persons demanded work(Feb),Total persons demanded work(Mar),Total households worked(Apr),Total households worked(May),Total households worked(Jun),Total households worked(Jul),Total households worked(Aug),Total households worked(Sep),Total households worked(Oct),Total households worked(Nov),Total households worked(Dec),Total households worked(Jan),Total households worked(Feb),Total households worked(Mar),Total persons worked(Apr),Total persons worked(May),Total persons worked(Jun),Total persons worked(Jul),Total persons worked(Aug),Total persons worked(Sep),Total persons worked(Oct),Total persons worked(Nov),Total persons worked(Dec),Total persons worked(Jan),Total persons worked(Feb),Total persons worked(Mar)
1.0,ANDAMAN AND NICOBAR,45396,45396,4,2555,42837,19912,23586,19905,23574,22365,19300,22761,2205,44,18475,796646,2,14,823,33043,13,384593,829703,0,64,1429,15,1458,15,44677804,1240,11532,10801,731,25418828,942,934,8,883274,20558,48373,54010,67875,67151,65843,70404,70329,143871,185400,35889,792422,5017,8163,5223,2663,1695,3348,3244,2664,5920,6705,6945,6396,6000,6080,5956,5123,2406,3692,3490,2804,6421,7304,7699,7213,6670,6680,6437,5496,2546,3097,3621,2838,6015,6897,8013,7241,7237,7479,6834,6613,3408,42315,33536,27893,59820,74177,100073,104800,97471,92061,89693,77257,30607
2.0,DADRA & NAGAR HAVELI,7845,1726,1,1703,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.0,DAMAN & DIU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.0,LAKSHADWEEP,8254,8162,8,8062,92,3891,4290,3889,4287,1254,3871,4264,133,5,40,1860,7,285,3824,162723,1,65397,164868,0,132,197,6,232,7,934,135,159,159,0,723681,5982,5956,26,18003310,190,6409,41959,8879,14585,33234,7889,11114,27132,11500,1977,161818,1844,1394,585,200,241,1175,1106,952,1026,948,372,469,469,400,482,262,212,1206,1140,981,1043,958,372,475,471,403,489,268,216,1104,1071,904,1149,931,361,476,542,495,653,284,136,26551,25351,16211,21165,19131,7779,7525,8825,8544,12720,4247,2377
5.0,NAGALAND,384478,384478,3530,353590,27358,370590,402015,370521,401961,18700,370483,401173,81790,87,21656,1612989,3498,208010,347695,27840077,227,7949994,29661076,180,77127,33429,18940,35004,19579,93813130,27687,96550,63136,33414,0,1,1,0,0,6941,30169,57367,1045744,469459,1161260,2165015,5159456,11275076,8264700,25889,29646006,74515,111283,102749,74717,39711,223689,211727,286878,217488,163553,163850,145919,162084,197937,241361,207537,176519,228205,213262,292362,220892,164822,164004,145946,172394,198705,242474,208049,178322,223175,220267,286578,218120,170713,166918,146059,163853,193558,236289,199554,173512,2849721,2824697,4396201,2703717,1868706,1787342,1801324,2375983,2583460,2935390,2246204,1288331
6.0,ANDHRA PRADESH,7166470,7166470,1768221,600513,4797736,0,0,0,0,2277681,2914172,5204756,631290,52140,1813681,104469466,786499,49667773,313570,28964178,747146,103403566,183101417,0,0,286460,88365,286685,88366,210979076288,3061806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.0,ARUNACHAL PRADESH,163974,159779,84,145256,14439,14979,16081,8527,8557,265,4443,4473,0,1,20,69,1,3,4422,72807,88,24977,72879,0,0,46,0,71,3,2024,1397,51581,50223,1358,6817332,93480,88384,5096,289218,18118,6959,1064,4571,18124,23724,0,225,94,0,0,53065,660,1303,1175,742,593,0,0,0,1,9809,2229,0,1224,153,401,947,3259,0,0,0,1,9812,2260,0,1225,155,410,950,3293,0,0,0,0,427,0,0,248,379,403,861,1034,0,0,0,0,2451,0,0,7963,5775,4108,23064,17176
8.0,ASSAM,3949587,3942091,238692,649816,3053583,1355103,1614185,1354996,1614074,486632,1349078,1606192,15750,2256,998676,25266362,80439,1977589,269963,8018997,23696,8796870,35262948,755,6080,45927,22528,45981,22557,366001436,62522,1115050,938934,176116,1841747792,1417936,1279361,138575,2266244645,2179283,5578126,5895498,4043092,4174410,3411820,2116677,2337293,3856340,791200,879209,30398652,292154,618730,457122,182320,55753,257802,234032,220395,177389,174703,169906,177147,178736,189577,285987,424724,549942,315092,276798,257893,197844,194996,194451,203217,203492,213730,315769,467714,637515,254836,237677,220171,177081,173645,170338,176078,179402,189835,285572,421952,546947,3374502,2914496,2592638,1969651,1856667,1922690,2013984,1992569,2075989,3309156,4697726,6534165
9.0,BIHAR,12698704,12631893,3016896,193747,9421250,1805317,2357361,1797592,2346865,2568657,1769469,2307642,170227,0,0,0,0,0,0,0,0,0,0,38698,1918,69344,55151,88130,65971,2239641599,319251,309812,255275,54537,305984890,4334170,3668579,665591,8504171028,1598525,5823938,7812079,5462086,6765042,5619732,4404962,4106647,9286125,11543900,5792733,63395419,433721,858855,674787,286723,53557,578354,367799,219289,169740,155538,128267,228544,312964,286836,122192,447564,342890,741969,478332,278645,202540,182733,148781,271790,383207,356338,142913,564139,431986,568174,435819,281158,209787,200093,184362,281405,375232,358210,182184,488374,407497,11019219,7911991,4557834,3498354,3576020,3379643,4619175,6052064,5927944,3407137,7965669,6298113
10.0,CHHATTISGARH,4402364,4390536,460416,1467064,2463056,2739202,5967863,2740432,5970957,1941326,2725027,5911119,207643,30960,1485904,63393459,278156,11703666,960967,45578537,8778,55720356,120675662,17973,93490,146353,47797,147986,49633,58729538,236225,2346648,2285677,60971,4684177715,4762046,4584798,177248,8269583918,2056298,6603053,9589728,10438483,12110025,12542395,11211547,11533361,23002341,6057200,15531231,115979481,1656877,2017695,1323954,667762,245028,1229029,1578133,1227625,239661,134109,87713,149447,213060,498743,815199,974962,875614,2234478,3005858,2178703,429531,224312,124938,221095,313664,773539,1329655,1587097,1417612,1212784,1561204,1211475,236054,129101,80822,148516,211721,496531,811002,970739,871218,19733362,31593852,15810650,3040081,1582175,834604,1804245,2601091,6682601,11807792,14002127,11167358
