Sno.,State Name,Total households applied for job card,Total job cards issued,Total job cards (SC),Total job cards (ST),Total job cards (non-SC/ST),Total households demanded work,Total persons demanded work,Total households allotted work,Total persons allotted work,Total muster rolls filled,Total households worked,Total persons worked,Total households reached 100 day limit,Total persons with disability,Total households worked (non-SC/ST),Total person-days worked (non-SC/ST),Total SC households worked,Total person-days worked by SCs,Total ST households worked,Total person-days worked by STs,Total land reform/IAY households worked,Total person-days worked by women,Total person-days,Total SC households over 100 day limit,Total ST households over 100 day limit,"Labour exp. (disbursed, Rs. In Lakhs)","Material exp. (disbursed, Rs. In Lakhs)","Labour exp. (disbursed + pending, Rs. In Lakhs)","Material exp. (disbursed + pending, Rs. In Lakhs)",Amount sanctioned (Rs. In Lakhs),Total works,Total bank accounts,Total individual bank accounts,Total joint bank accounts,Amount disbursed to bank accounts,Total post office accounts,Total individual post office accounts,Total joint post office accounts,Amount disbursed to post office accounts,Total households completed<br>person-days in range:1-10,Total households completed<br>person-days in range:11-20,Total households completed<br>person-days in range:21-30,Total households completed<br>person-days in range:31-40,Total households completed<br>person-days in range:41-50,Total households completed<br>person-days in range:51-60,Total households completed<br>person-days in range:61-70,Total households completed<br>person-days in range:71-80,Total households completed<br>person-days in range:81-99,Total households completed<br>person-days in range:100,Total households completed<br>person-days in range:>100,Total households completed<br>person-days in range:>14,Total workers employed<br>in age group:,Total workers employed<br>in age group:30-40yrs,Total workers employed<br>in age group:40-50yrs,Total workers employed<br>in age group:50-60yrs,Total workers employed<br>in age group:>60yrs,Total households demanded<br>work(Apr),Total households demanded<br>work(May),Total households demanded<br>work(Jun),Total households demanded<br>work(Jul),Total households demanded<br>work(Aug),Total households demanded<br>work(Sep),Total households demanded<br>work(Oct),Total households demanded<br>work(Nov),Total households demanded<br>work(Dec),Total households demanded<br>work(Jan),Total households demanded<br>work(Feb),Total households demanded<br>work(Mar),Total persons demanded work(Apr),Total persons demanded work(May),Total persons demanded work(Jun),Total persons demanded work(Jul),Total persons demanded work(Aug),Total persons demanded work(Sep),Total persons demanded work(Oct),Total persons demanded work(Nov),Total persons demanded work(Dec),Total persons demanded work(Jan),Total persons demanded work(Feb),Total persons demanded work(Mar),Total households worked(Apr),Total households worked(May),Total households worked(Jun),Total households worked(Jul),Total households worked(Aug),Total households worked(Sep),Total households worked(Oct),Total households worked(Nov),Total households worked(Dec),Total households worked(Jan),Total households worked(Feb),Total households worked(Mar),Total persons worked(Apr),Total persons worked(May),Total persons worked(Jun),Total persons worked(Jul),Total persons worked(Aug),Total persons worked(Sep),Total persons worked(Oct),Total persons worked(Nov),Total persons worked(Dec),Total persons worked(Jan),Total persons worked(Feb),Total persons worked(Mar)
1.0,ANDAMAN AND NICOBAR,35514,35513,4,3934,31575,2573,2941,2534,2901,1355,2482,2843,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34445,33591,854,4813210,206,205,1,0,5895,10516,8749,8277,5594,2420,830,378,469,600,0,32385,361,1043,802,405,190,1631,1595,683,2,0,0,0,0,0,0,0,0,1830,1806,755,2,0,0,0,0,0,0,0,0,1639,1564,716,0,0,0,0,0,0,0,0,0,18825,19034,5869,0,0,0,0,0,0,0,0,0
2.0,DADRA & NAGAR HAVELI,9141,3549,1,3496,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2181,2172,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.0,DAMAN & DIU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.0,LAKSHADWEEP,8178,8008,9,7909,90,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3253,3249,4,0,4521,4507,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.0,NAGALAND,431925,431478,3731,412269,15478,413820,461679,412990,460839,20517,409757,453580,138,119,15232,680700,3621,211283,390904,19111258,265,5753281,20003241,0,131,57449,35224,60897,37218,13795311,19402,166574,164666,1908,1465189966,203,203,0,60452,96134,423513,1340583,1915649,3297506,3632207,3434803,2493670,3355376,13800,0,19839819,38396,119920,118407,96314,80543,367459,367569,308137,92047,22627,8328,4121,3300,59506,285247,358804,348597,377133,370097,309594,92099,22633,8328,4121,3300,59639,285371,359803,351475,359576,353645,290128,83071,19463,8639,4270,961,30264,183136,254227,265445,3768239,3967111,2842029,810302,154589,71239,40136,3702,300598,1496488,3451880,3096928
6.0,ANDHRA PRADESH,8641251,8641251,2096592,715563,5829096,4271447,7414542,4263134,7399560,7255974,3994718,6513082,594499,78052,2654921,143049831,962456,46826491,377341,22215441,832122,126490291,212091763,121222,78376,350377,257747,350472,258362,2955670,4826183,7453332,7453210,122,25934942237,991225,991225,0,2450640314,2668324,6856420,10612489,12850076,15342004,17094374,17618664,18665023,49049120,49066300,12268969,206951731,348137,1465879,1866965,1637708,1194446,3008836,3544031,3327706,2437870,1522193,710019,619226,611402,616280,1246474,2225962,2489573,5053419,5993260,5552748,3936604,2385738,1075033,927898,910273,915084,1926938,3514078,3946111,2054065,2866736,2548150,1421416,676439,407152,339930,281918,277256,483842,1178549,1696590,34618912,62771923,39417474,17459939,6357299,4401036,3603387,2791869,2756436,4464491,13714371,19734626
7.0,ARUNACHAL PRADESH,221215,219916,178,201726,18012,161946,172925,155743,165221,22252,141722,147964,2,447,14336,495678,119,3855,127267,3780869,5622,1552718,4280402,0,2,13153,7796,13303,7909,28224962,7965,226272,212309,13963,1058683825,5921,5572,349,13958640,111194,551198,900895,920993,641807,268065,369674,306832,209542,100,102,4063044,18801,39587,39922,30636,18843,64235,37494,24086,17053,10547,17430,13083,2680,31216,31056,70852,52460,65429,37761,24376,17459,10721,18005,13505,2685,32366,32532,73235,53079,48529,26920,20051,11735,8461,15647,7864,7258,29404,26827,59989,61275,525407,319363,252855,109546,105797,211790,113061,59187,429115,420346,930643,803292
8.0,ASSAM,4671142,4425753,257155,680217,3488381,1901375,2991751,1900571,2990598,732753,1684648,2604313,10928,7844,1302705,38566318,86703,2174127,295240,7345938,38291,18515230,48086383,307,1551,69068,43570,69880,44067,65880725,512660,4682785,4317867,364918,8594012574,402162,374538,27624,55322276,2145550,7008320,7689368,5287122,5921454,5050463,2700541,3781854,7382088,891400,228223,42558094,383119,939253,776791,380219,126243,321266,517262,425589,265323,282576,322457,408170,371210,575431,526111,418451,440745,461682,765949,644846,380333,385651,454436,652329,569021,877988,719827,528193,586016,249773,415646,349548,214495,225014,258576,331165,311975,470918,429551,334143,360554,3185866,6016119,4589181,2748021,2624852,3015020,4396716,4040309,5764142,4576628,3351034,3778495
9.0,BIHAR,15896313,14833241,3652387,253562,10927292,2904668,3575580,2901632,3571907,1253422,2247235,2702189,15556,4486,1738430,63106947,471177,17299770,37628,1312896,69635,38052910,81719613,3823,221,159625,88493,161188,90276,426919773,1024017,6692698,6260477,432221,16813486575,2845,2760,85,1992573,1082240,7824594,12511853,9155849,10789188,9368836,6615364,7186779,15619512,1003400,561998,75754087,321964,944762,847927,449664,137852,770309,1278633,1398422,529668,224692,165694,385924,453672,384325,437664,607044,577474,912307,1531554,1682400,606838,253135,186148,437085,514447,432706,490579,686110,653600,549683,987588,1093209,340666,128476,107719,260033,292030,259992,316291,419268,366376,9497104,18038869,18551656,4864460,1707445,1465569,3807425,4251763,3732783,4691186,6184958,4926395
10.0,CHHATTISGARH,3833174,3701963,392391,1242097,2067475,2743316,5537036,2741465,5532714,4658431,2326446,4277448,323496,28100,1282368,63926537,233088,11587886,810990,44414886,26822,59611686,119929309,28004,134285,189651,119193,190132,119627,44784150,1316059,6577975,6555360,22615,18292419820,269305,267479,1826,441502762,1523039,5460859,7767813,8066293,9759765,9898097,8283841,9208530,17699039,812400,41449633,116051008,342989,1670920,1239537,721858,302298,1102964,1368723,1077962,278650,218311,305623,405646,501052,734417,1004357,1104910,1329778,1937883,2463035,1886229,442171,347629,480078,654835,836334,1246921,1724641,1914178,2361739,813512,1118295,930161,242179,192751,261331,327746,393125,577918,804329,860812,958122,14015272,21828848,13972987,3315716,2551397,3369627,4414172,5690889,8830244,13348076,13958846,14633235
11.0,GOA,36821,33107,789,9592,22726,6579,6749,6536,6703,1256,6463,6624,6,3,4268,65954,186,4357,2009,29098,10,78224,99409,1,1,234,46,244,46,697997,3290,19701,19458,243,23065779,5,5,0,0,18008,22654,20042,10826,8800,6856,4310,3446,3867,600,0,71099,55,1044,2464,1830,1231,880,985,2348,3227,2782,1454,698,369,384,367,765,305,903,1013,2401,3280,2836,1477,711,374,390,374,786,310,878,977,2297,3173,2710,1342,561,297,366,367,711,257,8949,11163,15370,22306,16551,6372,3425,1758,2895,2718,6189,1713
12.0,GUJARAT,3648702,3533089,237694,1341582,1953813,1017117,1722431,1014988,1718219,762469,861167,1393801,11183,10283,436474,18487115,47147,2155742,377546,14665988,30809,14738278,35308845,864,4550,62754,21320,62937,21607,183679552,431912,2951544,2593677,357867,5924156326,636324,425354,210970,41135672,777794,2738756,3282327,2976863,3514895,3734843,3060873,3536113,10555078,897800,233503,33669590,170933,419536,426184,273193,103468,221835,443286,380667,138555,151691,143018,134037,144200,135612,247112,271468,231723,342106,738919,612836,195320,218787,197331,185478,193925,180309,343426,387957,344722,166932,360291,310762,107565,108042,116969,106648,113656,109552,203396,224059,183480,2460001,7810885,5327814,1505577,1620875,1783616,1388393,1800028,1700600,3589477,3770960,2550619
