Sno.,State Name,Total households applied for job card,Total job cards issued,Total job cards (SC),Total job cards (ST),Total job cards (non-SC/ST),Total households demanded work,Total persons demanded work,Total households allotted work,Total persons allotted work,Total muster rolls filled,Total households worked,Total persons worked,Total households reached 100 day limit,Total persons with disability,Total households worked (non-SC/ST),Total person-days worked (non-SC/ST),Total SC households worked,Total person-days worked by SCs,Total ST households worked,Total person-days worked by STs,Total land reform/IAY households worked,Total person-days worked by women,Total person-days,Total SC households over 100 day limit,Total ST households over 100 day limit,"Labour exp. (disbursed, Rs. In Lakhs)","Material exp. (disbursed, Rs. In Lakhs)","Labour exp. (disbursed + pending, Rs. In Lakhs)","Material exp. (disbursed + pending, Rs. In Lakhs)",Amount sanctioned (Rs. In Lakhs),Total works,Total bank accounts,Total individual bank accounts,Total joint bank accounts,Amount disbursed to bank accounts,Total post office accounts,Total individual post office accounts,Total joint post office accounts,Amount disbursed to post office accounts,Total households completed<br>person-days in range:1-10,Total households completed<br>person-days in range:11-20,Total households completed<br>person-days in range:21-30,Total households completed<br>person-days in range:31-40,Total households completed<br>person-days in range:41-50,Total households completed<br>person-days in range:51-60,Total households completed<br>person-days in range:61-70,Total households completed<br>person-days in range:71-80,Total households completed<br>person-days in range:81-99,Total households completed<br>person-days in range:100,Total households completed<br>person-days in range:>100,Total households completed<br>person-days in range:>14,Total workers employed<br>in age group:,Total workers employed<br>in age group:30-40yrs,Total workers employed<br>in age group:40-50yrs,Total workers employed<br>in age group:50-60yrs,Total workers employed<br>in age group:>60yrs,Total households demanded<br>work(Apr),Total households demanded<br>work(May),Total households demanded<br>work(Jun),Total households demanded<br>work(Jul),Total households demanded<br>work(Aug),Total households demanded<br>work(Sep),Total households demanded<br>work(Oct),Total households demanded<br>work(Nov),Total households demanded<br>work(Dec),Total households demanded<br>work(Jan),Total households demanded<br>work(Feb),Total households demanded<br>work(Mar),Total persons demanded work(Apr),Total persons demanded work(May),Total persons demanded work(Jun),Total persons demanded work(Jul),Total persons demanded work(Aug),Total persons demanded work(Sep),Total persons demanded work(Oct),Total persons demanded work(Nov),Total persons demanded work(Dec),Total persons demanded work(Jan),Total persons demanded work(Feb),Total persons demanded work(Mar),Total households worked(Apr),Total households worked(May),Total households worked(Jun),Total households worked(Jul),Total households worked(Aug),Total households worked(Sep),Total households worked(Oct),Total households worked(Nov),Total households worked(Dec),Total households worked(Jan),Total households worked(Feb),Total households worked(Mar),Total persons worked(Apr),Total persons worked(May),Total persons worked(Jun),Total persons worked(Jul),Total persons worked(Aug),Total persons worked(Sep),Total persons worked(Oct),Total persons worked(Nov),Total persons worked(Dec),Total persons worked(Jan),Total persons worked(Feb),Total persons worked(Mar)
25.0,PUDUCHERRY,70076,69362,19520,76,49766,36004,40717,36002,40715,810,29560,31671,0,61,19428,244771,10107,132617,25,231,14,325849,377619,0,0,530,0,530,0,1982,718,76381,75868,513,52321913,415,415,0,0,106546,145278,73140,32809,11607,4080,2590,1188,381,0,0,219107,2794,11338,11921,8479,6500,0,0,11129,10259,2152,2725,1972,3508,740,5556,10916,18242,0,0,12664,11180,2355,2976,2260,4024,812,6400,11868,19911,0,0,9771,7777,1482,2037,1225,2526,644,4286,8608,13696,0,0,83643,48181,11104,11845,7792,20508,3270,19819,66274,105183
26.0,PUNJAB,1117270,1111220,825794,178,285248,340863,419411,339831,418128,59587,288728,337366,2035,388,60375,1496384,228306,4956195,47,931,1241,3708654,6453510,1312,1,15153,4849,15188,4881,62753295,51724,1046281,949674,96607,1496895712,70697,64435,6262,4509836,572166,1305902,1246858,949380,708610,505770,353968,255410,350263,73700,135219,5319596,23113,84300,108195,68674,53181,71242,117103,151505,76786,70463,27558,12341,9317,18768,28552,49734,62428,80602,135125,176491,88837,86158,33651,14848,10734,22177,34910,62302,76851,56247,99256,125550,64993,58522,21381,9145,6891,15242,22379,41045,49703,716877,1201454,1503137,752249,616032,193885,101134,67771,163551,225161,424224,491771
27.0,RAJASTHAN,9924168,9886192,1864252,1764938,6257002,4117242,5925382,4115556,5922036,2195894,3686818,5142506,281264,4310,2031078,89467032,763679,34375505,892061,44775144,4008,115104429,168617681,60071,67936,205734,74631,205805,75028,76048921,487848,8003088,7168382,834706,17640795187,2370441,2247760,122681,2401630814,2717439,8452544,12587543,15610978,17459633,16966725,16777549,15940843,33298877,18609200,10161619,162408318,923313,1947016,1539206,954363,556313,1035930,2076857,2573125,1486345,482207,470248,451037,708018,1022987,707573,910007,1050428,1314614,2697674,3327364,1795981,594567,586068,579572,883667,1248006,837546,1063146,1288258,823725,1784952,2271503,1211731,362201,368000,342429,557281,844084,572337,718515,815842,12872688,32981570,42558792,15312772,5147119,5291552,5299297,8439752,13692054,7870421,8908194,10208739
28.0,SIKKIM,85941,85873,4267,31142,50464,60203,73045,60187,73001,18896,56755,68014,3266,98,32347,1449416,2435,101325,21973,861742,148,1160693,2412483,122,1249,3484,3209,3542,3294,25003223,6980,79214,70440,8774,279443294,16374,15014,1360,41366875,29879,150781,271590,229480,277424,266589,231671,220663,404554,316400,13482,2328030,10342,24046,18328,12256,8727,4691,12369,26968,17482,12448,13889,4723,10377,9502,12304,18462,23855,5070,13283,29581,19408,13869,15046,5029,11126,10276,13643,20286,27423,3932,11058,25109,16526,11652,13210,5812,9995,9428,10333,15829,23347,54568,186208,428832,237795,190970,224363,83644,157907,130423,148517,243444,325842
29.0,TAMIL NADU,8340268,8224953,2333097,131375,5760481,5681511,7010533,5679707,7006582,4118760,5657572,6913415,333005,65374,3955765,187418084,1633516,77554270,68291,2992800,60703,228733223,267965154,97844,3250,311934,21098,312355,21180,1072794984,639427,8648597,8569661,78936,30032693164,196,170,26,0,3570118,11521136,17733759,22326195,25962911,27649277,28426020,31744448,65457176,21120400,12453714,261014926,531384,2146594,2098281,1357091,781514,3376879,3900320,3980818,3833971,1822584,1179013,879184,801851,936953,1464742,2149982,2096693,3772751,4462533,4561400,4333679,1940943,1243675,923775,850580,996803,1593396,2364855,2294481,3374877,3903595,3984221,3833790,1808642,1176515,876902,800911,933715,1460476,2143651,2087418,35226380,48485521,45686423,45424126,14175942,10150729,6445013,6316420,7017268,11323049,19216294,18497989
30.0,TRIPURA,631915,631800,111663,251760,268377,592571,1128485,592564,1128444,979815,581254,1099370,243374,12674,238910,19502697,102544,8783981,239800,22564919,94469,25115880,50851597,41038,127217,69094,7537,69286,7684,169535209,238343,672955,253182,419773,6561981061,1346,992,354,1142826,47735,132966,261680,459520,796079,1258077,1855171,3054496,16866975,14893000,11509491,51047622,187664,342811,288534,181534,131083,2292,36898,394147,192227,305350,357170,199583,402860,494981,528622,514514,484685,2712,40138,459650,234786,365201,426635,233183,502748,651084,772061,779748,770250,1337,34867,381250,185580,292916,340963,184351,375241,471656,513209,504738,475834,12700,277763,3749781,1737943,2629600,2730929,1108117,3744734,6392324,10014410,10023968,8712921
31.0,UTTAR PRADESH,15743902,15455233,5230130,156843,10068260,4531778,5597341,4528322,5592412,2841943,3895548,4692512,107605,9205,2438928,82632763,1421923,46770657,34697,1063758,32580,32320258,130467178,37882,806,195110,93590,196415,94733,2371087057,978690,11901506,11042388,859118,19188353650,407420,384844,22576,2785173,4502178,13170843,17302923,12818345,15127267,13492734,11377079,9851755,22357698,5149200,6084994,119590608,604908,1991067,1890619,870215,244466,402334,684032,1395510,1238961,843688,640650,694886,916574,1396751,1373571,1358248,1337073,456851,780309,1593735,1411716,961157,732926,793523,1043645,1599628,1580108,1581426,1572092,306553,555375,1170843,1103472,736860,550376,597110,779098,1211402,1236262,1189704,1150349,3989535,6514054,15381872,13260204,8797802,6335295,7079335,9467192,15779853,15878686,15332200,13418988
32.0,UTTARAKHAND,1116325,1103912,221067,40248,842597,491408,593886,491082,593367,169611,454597,541745,7597,695,362795,11639811,78500,2671257,13302,381280,2840,7443815,14692348,1900,183,19225,9111,19544,9227,128246478,73672,876822,816971,59851,1509421912,133659,124511,9148,296137430,318759,1725941,2660989,2171386,2071331,1600970,1085030,906479,1369708,326400,464779,13529305,51444,181856,174430,110075,73090,7169,12534,8741,19405,39241,65823,90585,132519,151832,195541,192040,165004,7900,13720,9711,21635,43564,72876,101911,146468,167774,218165,215902,190514,5368,11068,8568,17426,36446,62419,86520,123535,149946,186973,187798,161432,75903,145687,117149,260711,511467,877692,1196238,1713576,2115669,2810961,2752678,2124041
33.0,WEST BENGAL,12204578,12155441,3232468,917587,8005386,5717041,8608720,5715956,8606551,4050827,5116780,7348237,157529,72350,3065772,101946274,1603607,53735770,447401,13815070,367796,70380233,169497114,49517,11506,268603,89873,274303,93816,4479576731,798618,10154941,9171685,983256,21496185498,3408767,2957607,451160,4922057150,5250423,18211319,24003470,20386331,22019036,19040270,13299507,11522179,19815638,7224300,8935370,156320220,961000,2426552,2605432,1672914,865373,912746,1146543,2720559,2194669,1615921,1111819,817449,790901,677666,814193,1045525,1245871,1248249,1580277,3908244,2961009,2084457,1399931,1054321,1005006,843256,1029555,1344567,1682038,777886,1019493,2431390,1950432,1397723,1021975,730804,719573,654708,762246,972363,1176022,9279489,12049994,35056921,23161546,15186729,10713932,7812322,8760304,8876647,10367566,13514477,14927916
,Total:,123188127,121884317,26171112,16705993,79007212,43616920,67387691,43537639,67198149,30015906,38836899,57684462,2315581,350216,23305889,940060057,8820387,348292146,6696951,264755095,1557335,848244099,1553107298,486229,470199,2188880,729300,2207538,743184,17259731405,9951099,75273059,63972123,11300936,167459433851,32555345,29224004,3331341,46379449141,34576277,116300409,160364810,141384409,159346253,152091232,127295277,132500026,278478316,99354700,156841265,1474575704,7325098,19821813,18548894,11426723,5861386,13229462,17292824,20974328,15183669,9624499,8424156,7004894,7298135,8465031,9016198,11216760,11984294,19623161,25643928,30216434,20400851,12443083,11114918,9016106,9314581,10703038,11572656,14446880,15797781,11112223,15003453,18485035,13023274,8085260,7084078,5988604,6292133,7329559,7799659,9745538,10380327,159696767,234031069,270797807,157157944,86862786,77210162,67276929,74841247,90352468,98284201,121320472,120701122
