Sno.,State Name,Total households applied for job card,Total job cards issued,Total job cards (SC),Total job cards (ST),Total job cards (non-SC/ST),Total households demanded work,Total persons demanded work,Total households allotted work,Total persons allotted work,Total muster rolls filled,Total households worked,Total persons worked,Total households reached 100 day limit,Total persons with disability,Total households worked (non-SC/ST),Total person-days worked (non-SC/ST),Total SC households worked,Total person-days worked by SCs,Total ST households worked,Total person-days worked by STs,Total land reform/IAY households worked,Total person-days worked by women,Total person-days,Total SC households over 100 day limit,Total ST households over 100 day limit,"Labour exp. (disbursed, Rs. In Lakhs)","Material exp. (disbursed, Rs. In Lakhs)","Labour exp. (disbursed + pending, Rs. In Lakhs)","Material exp. (disbursed + pending, Rs. In Lakhs)",Amount sanctioned (Rs. In Lakhs),Total works,Total bank accounts,Total individual bank accounts,Total joint bank accounts,Amount disbursed to bank accounts,Total post office accounts,Total individual post office accounts,Total joint post office accounts,Amount disbursed to post office accounts,Total households completed<br>person-days in range:1-10,Total households completed<br>person-days in range:11-20,Total households completed<br>person-days in range:21-30,Total households completed<br>person-days in range:31-40,Total households completed<br>person-days in range:41-50,Total households completed<br>person-days in range:51-60,Total households completed<br>person-days in range:61-70,Total households completed<br>person-days in range:71-80,Total households completed<br>person-days in range:81-99,Total households completed<br>person-days in range:100,Total households completed<br>person-days in range:>100,Total households completed<br>person-days in range:>14,Total workers employed<br>in age group:,Total workers employed<br>in age group:30-40yrs,Total workers employed<br>in age group:40-50yrs,Total workers employed<br>in age group:50-60yrs,Total workers employed<br>in age group:>60yrs,Total households demanded<br>work(Apr),Total households demanded<br>work(May),Total households demanded<br>work(Jun),Total households demanded<br>work(Jul),Total households demanded<br>work(Aug),Total households demanded<br>work(Sep),Total households demanded<br>work(Oct),Total households demanded<br>work(Nov),Total households demanded<br>work(Dec),Total households demanded<br>work(Jan),Total households demanded<br>work(Feb),Total households demanded<br>work(Mar),Total persons demanded work(Apr),Total persons demanded work(May),Total persons demanded work(Jun),Total persons demanded work(Jul),Total persons demanded work(Aug),Total persons demanded work(Sep),Total persons demanded work(Oct),Total persons demanded work(Nov),Total persons demanded work(Dec),Total persons demanded work(Jan),Total persons demanded work(Feb),Total persons demanded work(Mar),Total households worked(Apr),Total households worked(May),Total households worked(Jun),Total households worked(Jul),Total households worked(Aug),Total households worked(Sep),Total households worked(Oct),Total households worked(Nov),Total households worked(Dec),Total households worked(Jan),Total households worked(Feb),Total households worked(Mar),Total persons worked(Apr),Total persons worked(May),Total persons worked(Jun),Total persons worked(Jul),Total persons worked(Aug),Total persons worked(Sep),Total persons worked(Oct),Total persons worked(Nov),Total persons worked(Dec),Total persons worked(Jan),Total persons worked(Feb),Total persons worked(Mar)
1.0,NAGALAND,437347,436901,3720,415924,17257,393978,430467,392680,428759,21719,390368,425990,1,384,15141,607421,3601,110368,371626,13130502,371,4933859,13848291,0,0,23903,14494,27886,15331,8351444,32909,204341,201362,2979,1011185946,207,207,0,1939704,0,0,0,0,0,0,0,0,0,0,0,0,33110,112166,111366,90335,79013,27837,82651,126845,36910,46152,244742,241865,192941,107486,159137,222674,167343,27843,82706,126945,36996,46250,245867,244486,193902,108360,160142,223207,168310,25878,68225,85966,30131,42058,250317,253461,191527,106414,159204,220562,158811,135415,493438,694699,296699,361760,2235620,2444653,1707038,864400,1535128,1803806,1275635
2.0,ANDHRA PRADESH,8965257,8965257,2149918,727495,6087844,4511581,7756142,4501866,7738441,8163126,4036587,6500046,581759,76723,2705500,135117383,951885,42318520,379202,22766270,805475,120222174,200202173,0,0,421506,89135,421514,176658,5143739,5650538,9171090,9170726,364,34992686017,502290,502290,0,166056805,0,0,0,0,0,0,0,0,0,0,0,0,361394,1377420,1839787,1659007,1263336,3423268,3764325,3442876,2789351,1526696,1311830,1052454,1294304,1574089,1871289,2521156,2673795,5646359,6274491,5671804,4501261,2389698,2025553,1610087,1997515,2466267,2942735,3995651,4267469,2540006,3070074,2674633,1449036,593716,556624,432275,391118,576173,827955,1384140,1522042,35779037,57101607,35331110,12345764,5031214,5213160,4289344,3675148,5177156,5977402,14772865,15508366
3.0,ARUNACHAL PRADESH,245373,243199,250,223757,19192,184660,191712,183484,190305,24927,176980,182962,412,401,16535,841861,154,6876,160291,7757987,5287,3483141,8606724,0,0,7861,5754,8209,5814,9700483,12919,277426,257810,19616,960905395,1919,1911,8,0,199,0,0,0,0,0,0,0,0,0,0,0,31391,49663,46381,34245,21054,5465,13059,43020,51364,42272,36009,42788,56301,69614,69478,71128,33226,5554,13366,43328,51890,42750,36296,43403,56857,70338,70162,71862,33590,3924,11294,40607,41194,48052,39688,43992,59260,74700,74242,71688,39752,55551,170463,646594,560322,815846,618700,733071,919419,1197062,1143419,1192783,553494
4.0,ASSAM,5263290,4929888,270374,740854,3918660,2159171,3220765,2158314,3219537,1323173,1929850,2773571,30041,5479,1494145,48442061,98156,2945656,337549,10977496,46874,26049472,62365213,0,0,76641,8672,76975,13446,10979543,740132,4814189,4457423,356766,1226590301,396122,370949,25173,7059461,270855,165502,18196,718,445,0,0,0,0,0,0,55611,314854,924615,896703,470319,167133,589353,805085,688345,405809,311023,280461,145860,386702,404840,555924,730057,768139,793086,1123145,943553,527628,438555,376445,186514,519156,551103,750329,973323,1020413,505945,712415,609222,317019,271204,212400,125967,332026,334901,494812,643889,547288,6060353,9727563,7579742,3559962,3476776,2532358,1325743,4024373,4020819,6129955,8076022,5851547
5.0,BIHAR,18441789,17036487,3778866,273777,12983844,4188095,4919937,4180008,4909512,4874829,3379854,3868454,20444,7288,2824316,117614357,508422,22218039,47116,2023099,615984,79228082,141855495,0,0,226943,54634,230385,55832,133245361,2958573,10088535,9463811,624724,24513870771,2997,2905,92,183726,38168,2283,166,0,0,0,0,0,0,0,0,895,541476,1322152,1132313,612796,259660,1152586,1261194,1349368,744696,490458,454206,491634,714072,801760,1122454,1349712,1144206,1308549,1454510,1536065,822628,531635,490034,528996,773070,874795,1226718,1473259,1244483,863983,1003756,1052502,531498,387834,352646,379849,554862,659245,897871,1070957,764188,15873727,18796528,17564072,8256343,6343437,5594289,5829570,8823424,10925288,15121123,18274889,10452715
6.0,CHHATTISGARH,4002269,3886929,411128,1276423,2199378,2904038,5895122,2903653,5894207,4996196,2445470,4544297,418158,30415,1364257,71838140,238683,11922441,842530,52416308,30553,69044290,136176889,0,0,212936,45355,213335,45603,3928109,1428703,7767892,7711790,56102,21589983642,164927,163429,1498,334504351,915716,1050012,77837,4940,1026,170,0,0,0,0,0,264918,399366,1797409,1312264,745864,289491,1368500,1474699,1307010,307107,161525,158732,215118,435033,1084746,1313067,1351514,1327480,2454037,2653403,2264459,462433,236570,228309,334632,722184,1890883,2310016,2367892,2299097,1067194,1202081,1061767,252785,139872,137727,177135,315393,818048,1012028,960151,952413,21366646,24370989,16557792,3361940,1741260,1688465,2561465,5101531,14121637,18252266,15191657,11861241
7.0,GOA,37114,33634,793,9816,23025,1744,1798,1733,1787,632,1698,1751,0,0,1059,20727,56,967,583,12290,2,25687,33984,0,0,85,45,85,45,77057,3544,20437,20188,249,8495030,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,270,621,517,326,27,49,112,17,35,20,21,93,820,885,899,490,27,50,112,18,36,22,23,97,841,903,929,504,27,49,112,17,35,20,21,93,818,866,873,433,173,326,848,181,300,124,245,738,9775,8887,8926,3461
8.0,GUJARAT,4023353,3907330,245598,1487986,2173746,941108,1585944,939173,1582722,647577,818934,1326269,13168,9799,425115,19175364,41053,1870896,352766,14324861,32313,15963334,35371121,0,0,59729,24019,59817,24059,27560905,484334,3653838,3242212,411626,6065439419,549713,369724,179989,3727404,23410,9561,592,0,0,0,0,0,0,0,0,1894,204524,413191,382875,233821,82532,268540,410484,347784,145640,80188,80524,67602,111617,199480,256281,275372,189489,427942,689630,559713,205361,106037,105752,92526,155187,278741,366435,393387,268750,221726,345592,293691,115039,64648,66301,54198,93926,171264,224345,239589,142400,4441035,7591269,5059080,1892088,921964,1000688,716968,1487711,2811799,3741829,4006398,1700292
9.0,HARYANA,987962,987791,408156,113,579522,309346,460085,308750,459285,113760,257795,364021,4831,514,136894,5275983,120870,3842572,31,817,2226,4613929,9119372,0,0,18830,7406,18857,8707,841037,90555,1079387,1031931,47456,113302665,25306,21982,3324,3498523,956,252,0,0,0,0,0,0,0,0,0,0,44035,115105,112746,62796,29218,22299,31294,98738,93906,91615,84086,35010,71099,95888,106316,112558,89264,28638,42289,140975,131876,126109,114838,44427,94351,128083,142084,148830,117300,16393,24818,73704,69424,68324,58911,26844,52252,75495,85463,88693,57502,247552,322326,944665,905046,846600,739521,394370,702296,1042731,1224184,1220058,527685
10.0,HIMACHAL PRADESH,1297499,1279086,338246,78971,861869,580573,793068,580512,792928,365609,535410,716133,61192,1352,347737,16336205,145445,7000891,42228,2581681,7781,16263203,25918777,0,0,47992,16387,48003,16523,5428451,365536,1592722,1542998,49724,4798149084,7992,7832,160,4430104,0,0,0,0,0,0,0,0,0,0,0,0,53074,203144,203855,139003,116754,171271,165954,192855,164060,140402,167485,144913,160134,170056,165773,203780,204891,207948,200394,231662,197844,166711,195700,170060,187267,199177,194790,246189,250004,143855,138662,163331,135593,114863,138290,112646,127037,140455,138383,175609,155578,2235617,2280709,2731787,2175017,1816204,2222069,1727120,1935466,2064460,2078608,2891433,1760287
11.0,JAMMU AND KASHMIR,1329208,1253870,78974,173454,1001442,727000,1093716,726351,1092713,538541,633611,922397,12900,5254,488864,23623451,34063,1521374,110684,6230987,5955,10329651,31375812,0,0,32821,12174,33440,13769,30846091,305660,1838825,1832464,6361,6369948482,575,567,8,0,3101,649,93,67,50,0,0,0,0,0,0,314,105798,292884,283008,165715,74816,77791,58885,33564,48865,25723,39708,62964,104593,147972,186344,282713,280239,109146,81436,45175,64079,30512,46360,79461,135673,196144,254107,399736,402972,58434,57496,36748,40559,28167,41152,69356,119130,169538,231196,330347,320335,1335480,1257968,667397,667757,457295,738270,1390297,2508751,3582685,5126721,7605337,6037854
12.0,JHARKHAND,5071596,4726593,534356,1522739,2669498,1626147,2186938,1625126,2185378,2864491,1384977,1763197,30989,6567,867797,41177138,155473,6845167,361707,16178850,36629,26522969,64201155,0,0,104066,44646,104804,45207,20884431,1611852,5210419,5142264,68155,10648816209,498653,423761,74892,11286,534500,192964,3537,72,42,0,0,0,0,0,0,20204,309974,598143,504926,264514,84779,593402,553719,546315,509425,499937,464261,327695,416092,392826,432402,451590,387011,734781,684046,665443,616296,608919,565268,397894,501281,471902,514562,535146,455947,512385,483703,470649,420696,407658,386386,257246,359283,343365,370151,388640,285662,8435873,7754558,6920494,5600297,5127983,4855095,3148613,4791912,4575795,4858823,5132836,2998876
13.0,KARNATAKA,6353592,6353218,1147160,572682,4633376,2477235,4760784,2417559,4546379,1572516,2238396,4111477,187511,10015,1634244,82090509,380641,18206327,223511,11620902,46716,54963888,111917738,0,0,203467,114221,204065,121192,42620258542,1491871,11486557,10866148,620409,29258262892,235413,128916,106497,0,248482,332579,100731,8405,2624,270,63,0,0,0,0,171020,446967,1245796,1210267,851282,353031,745339,944614,940845,934437,645062,546822,459397,465871,491232,548564,627654,641210,1344270,1703423,1662632,1624584,1090508,901519,739225,752960,796307,896751,1024000,1063909,602662,796598,781001,765585,507709,416243,333239,349450,372111,434540,501067,431206,11293988,15960014,14236938,14147813,9133119,7059663,5487306,5864184,6246877,7590341,8676940,6220555
14.0,KERALA,3639648,3637725,440477,123947,3073301,1592407,1861759,1592298,1861564,2619565,1439128,1654129,251141,2116,1153085,62325003,215862,12474799,70181,5429897,20517,72048768,80229699,0,0,154579,21017,154587,21937,3588988,1574019,3579585,3569066,10519,21922518973,43886,43830,56,75075044,268709,25722,1373,35,0,0,0,0,0,0,0,2930,31093,238278,477944,493573,413241,286883,569042,658287,782620,816950,692392,830515,822741,807845,844521,826012,734831,318447,628240,720739,859079,893628,754068,906112,891301,869500,907345,891051,802577,234829,504724,621016,727638,734238,605636,776997,754434,739386,750535,770143,708223,2175356,5398137,6099770,7958184,6998946,4575611,8408328,7664186,7591973,8006283,8577800,6762718
15.0,MADHYA PRADESH,7522650,7364574,1195557,2335693,3833324,4244220,7786074,4236927,7768497,4666715,3622606,6172274,90655,54906,1845087,100837765,529748,28043912,1247771,64226359,74943,73595953,193108036,0,0,311775,132483,312825,133928,241695327,1841773,10815812,9199321,1616491,28592931525,244207,195390,48817,380760823,599392,620453,62052,6317,3589,1538,607,456,1716,900,0,163481,726968,2075108,1734096,1072964,556336,1335984,1524186,1548148,1044820,764110,824981,934514,1117521,1301069,1339268,1295387,961522,2106137,2426628,2447583,1572091,1119445,1197233,1369451,1662960,1954113,2019306,1968479,1477308,1114143,1293706,1350441,910365,671717,712319,769907,894116,1067886,1099195,1061655,724637,21672583,24624080,24131966,14110457,10704041,10862289,11567475,14248911,17223246,18009932,16897771,9055285
16.0,MAHARASHTRA,9400873,8755117,832711,1213124,6709282,1729435,3258282,1725435,3249158,1678279,1537399,2746443,124342,15551,1031582,42950595,179373,6869308,326444,13145219,51317,27336070,62965122,0,0,125870,41921,126468,50437,171647944,1647325,7409361,6820181,589180,12409375682,1196498,1168434,28064,113867536,84080,52240,10777,823,306,60,0,0,0,0,0,22778,205762,954588,834619,520798,230632,501365,651388,625083,306071,232622,227102,197713,270241,334054,408500,440501,405064,898189,1196631,1128621,485420,366274,358598,306216,431775,551269,701307,785436,713154,414182,545747,531960,263940,194176,197753,175543,240557,298590,365459,386696,311110,7140662,10057059,9101169,3883572,2872610,2869510,2563897,3530610,4596435,5854937,6426286,4068375
17.0,MANIPUR,572837,571695,15339,245721,310635,547419,608272,545572,605265,307177,541441,590407,857,1854,294927,13424904,14768,687737,231746,9303671,631,11470216,23416312,0,0,23236,15881,23867,15918,128660,111690,603183,562766,40417,2137816230,18304,16125,2179,109443,1679,0,0,0,0,0,0,0,0,0,0,0,47615,153214,160559,122987,106033,24149,8320,100916,82687,270952,452604,270599,91159,23902,31038,200905,425650,25389,8561,104376,83073,282948,475700,279366,92129,24345,31093,204165,441609,22145,7416,51214,81155,278540,452773,288677,76736,19575,30925,190990,406769,195523,66201,524325,764041,3330154,6613497,3660733,704034,145403,282294,1926670,5203437
18.0,MEGHALAYA,593424,589428,4038,542363,43027,512790,729999,512791,730001,344444,505573,715056,180536,1682,40142,2551580,3505,205120,461926,34265563,4640,18701173,37022263,0,0,66193,34863,66198,37683,2437633,106959,580807,460194,120613,4838831126,4100,3849,251,3097146,4780,0,0,0,0,0,0,0,0,0,0,0,126787,222465,164030,117750,84028,34903,45915,64050,118373,156743,186301,198991,222653,147083,263970,271680,213852,43705,57607,77272,150127,189778,231715,242417,266286,176820,331547,344221,275641,33100,43455,67492,126186,165341,199359,216464,237223,172084,266676,292380,235876,507380,661137,1178645,2164626,2844318,3677081,3979633,4211141,2991074,5217629,5952311,3637288
