Sno.,State Name,Total households applied for job card,Total job cards issued,Total job cards (SC),Total job cards (ST),Total job cards (non-SC/ST),Total households demanded work,Total persons demanded work,Total households allotted work,Total persons allotted work,Total muster rolls filled,Total households worked,Total persons worked,Total households reached 100 day limit,Total persons with disability,Total households worked (non-SC/ST),Total person-days worked (non-SC/ST),Total SC households worked,Total person-days worked by SCs,Total ST households worked,Total person-days worked by STs,Total land reform/IAY households worked,Total person-days worked by women,Total person-days,Total SC households over 100 day limit,Total ST households over 100 day limit,"Labour exp. (disbursed, Rs. In Lakhs)","Material exp. (disbursed, Rs. In Lakhs)","Labour exp. (disbursed + pending, Rs. In Lakhs)","Material exp. (disbursed + pending, Rs. In Lakhs)",Amount sanctioned (Rs. In Lakhs),Total works,Total bank accounts,Total individual bank accounts,Total joint bank accounts,Amount disbursed to bank accounts,Total post office accounts,Total individual post office accounts,Total joint post office accounts,Amount disbursed to post office accounts,Total households completed<br>person-days in range:1-10,Total households completed<br>person-days in range:11-20,Total households completed<br>person-days in range:21-30,Total households completed<br>person-days in range:31-40,Total households completed<br>person-days in range:41-50,Total households completed<br>person-days in range:51-60,Total households completed<br>person-days in range:61-70,Total households completed<br>person-days in range:71-80,Total households completed<br>person-days in range:81-99,Total households completed<br>person-days in range:100,Total households completed<br>person-days in range:>100,Total households completed<br>person-days in range:>14,Total workers employed<br>in age group:,Total workers employed<br>in age group:30-40yrs,Total workers employed<br>in age group:40-50yrs,Total workers employed<br>in age group:50-60yrs,Total workers employed<br>in age group:>60yrs,Total households demanded<br>work(Apr),Total households demanded<br>work(May),Total households demanded<br>work(Jun),Total households demanded<br>work(Jul),Total households demanded<br>work(Aug),Total households demanded<br>work(Sep),Total households demanded<br>work(Oct),Total households demanded<br>work(Nov),Total households demanded<br>work(Dec),Total households demanded<br>work(Jan),Total households demanded<br>work(Feb),Total households demanded<br>work(Mar),Total persons demanded work(Apr),Total persons demanded work(May),Total persons demanded work(Jun),Total persons demanded work(Jul),Total persons demanded work(Aug),Total persons demanded work(Sep),Total persons demanded work(Oct),Total persons demanded work(Nov),Total persons demanded work(Dec),Total persons demanded work(Jan),Total persons demanded work(Feb),Total persons demanded work(Mar),Total households worked(Apr),Total households worked(May),Total households worked(Jun),Total households worked(Jul),Total households worked(Aug),Total households worked(Sep),Total households worked(Oct),Total households worked(Nov),Total households worked(Dec),Total households worked(Jan),Total households worked(Feb),Total households worked(Mar),Total persons worked(Apr),Total persons worked(May),Total persons worked(Jun),Total persons worked(Jul),Total persons worked(Aug),Total persons worked(Sep),Total persons worked(Oct),Total persons worked(Nov),Total persons worked(Dec),Total persons worked(Jan),Total persons worked(Feb),Total persons worked(Mar)
1.0,ANDAMAN AND NICOBAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.0,DADRA & NAGAR HAVELI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.0,DAMAN & DIU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.0,LAKSHADWEEP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.0,NAGALAND,434770,434217,3737,414350,16130,400217,438477,398573,436083,18332,386305,416884,0,208,12260,502235,3237,105096,370808,12678116,242,4193422,13285447,0,0,14104,8307,14746,8605,10147551,25530,202301,199411,2890,485418981,206,206,0,501264,130300,510266,3047832,4373135,2167657,2077048,499260,80263,193829,0,0,12801612,26936,105031,109336,91757,83824,307377,153147,94468,123405,97273,60170,202844,235881,174789,234677,248206,188353,307548,153456,94658,123782,97695,60208,202922,235945,175018,235044,248507,189175,190059,85109,63222,81029,64778,72910,174606,213623,149946,224523,223808,189720,886635,559527,443240,702637,411306,508565,1269549,1657413,1395188,1893962,2122726,1434699
6.0,ANDHRA PRADESH,8816291,8816291,2123007,719449,5973835,4394710,7559120,4069899,6938456,11259058,4228454,6912326,867443,80430,2845405,168647156,994860,52905607,388189,25028865,842995,147710479,246581628,152526,103943,488288,303481,488327,438335,3880302,5746064,8107104,8107019,85,40894180596,721305,721304,1,775101388,2684413,7085718,10721368,13125724,15312770,17141999,17875979,18829274,46449732,33314700,61192578,238591287,360624,1484521,1952369,1755657,1360328,3250192,3625164,3454922,2612215,1665482,1353802,1315609,1447614,1726157,1804435,2420501,2649850,5397333,6027273,5684621,4202448,2630717,2166313,2098141,2307966,2745406,2848390,3807804,4196649,2421289,3039783,2809174,1740535,965102,819030,857623,845199,976102,1079633,1511455,1741864,38206267,55585635,37956136,18563400,10944270,9672206,10418734,9282617,9916201,9132498,16150082,20753582
7.0,ARUNACHAL PRADESH,230387,228939,194,209562,19183,168311,181328,165986,178403,20674,159973,169364,292,399,15958,641332,123,6199,143892,6222276,3957,2657839,6869807,0,289,11528,6362,11735,6442,9683036,8871,251631,235235,16396,1360902710,3005,2969,36,14160,16797,316986,1087361,834228,1306434,768231,555814,969459,969065,29100,101,6749157,22444,45153,44945,34587,22019,21284,21878,30579,21787,25087,29642,44147,35454,58271,78495,67964,34759,22824,23234,30775,22244,25286,30288,44526,35721,58758,80008,69570,35558,12219,14022,22006,18414,22683,28729,39950,41242,55667,77566,62601,41727,190591,200958,390434,255743,367575,430868,565560,665574,891436,1238841,1017273,654954
8.0,ASSAM,4930925,4653512,263869,716895,3672748,1922742,2823894,1922247,2823124,1198489,1741926,2460433,18360,5572,1312769,39866506,93909,2737932,335248,10679840,41815,21890659,53284278,674,4709,63876,18388,64095,18605,19442179,597013,4814207,4457442,356765,9610121075,396116,370944,25172,30596496,2266111,6711455,7555115,5058008,6278494,5612071,3049275,4438866,10533736,1721400,163840,47830344,296772,845349,783808,403084,140928,285077,413874,420732,300627,363637,367667,296702,287934,322165,524586,704991,943992,395009,580149,599654,398494,496184,476377,380366,372702,427498,695801,937458,1253703,225720,362061,363058,258409,307004,313640,251053,239154,282476,464219,624651,827469,2656827,4491235,4370000,2883117,3542787,3459968,2632003,2665390,3324953,5566902,7796725,9894371
9.0,BIHAR,17012912,15864507,3726823,265677,11872007,3670617,4380414,3666735,4375446,2849991,2923983,3382403,24573,6120,2322833,96989105,556861,24456448,44289,1911723,243975,63849503,123357276,6367,298,188654,75976,190495,76877,291764074,1714325,8194617,7686596,508021,21231806235,2803,2719,84,91509,949908,8668881,14796859,10949979,14238284,14426072,10970065,12741279,33379699,2059900,403945,117067374,427409,1150904,1037533,562627,203889,890667,1365934,1491782,630344,375818,348531,498456,704160,949564,1030059,1008575,824522,1032392,1584371,1722177,695216,412884,382694,545832,774256,1046233,1134359,1108553,905579,646964,1081417,1169110,421312,239174,250776,362653,530356,731210,788402,754164,555020,11098197,19978116,19275790,6136296,3812677,3982102,5683919,8425972,12056553,13148146,12108467,7651041
10.0,CHHATTISGARH,3921814,3798947,401590,1264297,2133060,2813750,5717431,2812236,5713993,5094476,2442477,4568868,428361,30119,1365843,74335756,249490,13387415,827144,50878438,32404,69371737,138601609,35890,178127,214711,55664,215126,55848,9181525,1414541,7009376,6972597,36779,21855655555,206860,204954,1906,476515374,1268692,4907052,7677824,8277430,10266369,10969710,9632995,10721340,20595673,1047900,53234819,135269187,333210,1794268,1337562,778532,325360,1369169,1605436,1252200,270493,264456,272272,401619,382564,809288,1231104,1187706,1061618,2471936,2941077,2247078,439370,440989,449889,678344,641145,1377830,2169083,2034895,1769202,1042668,1315386,1063514,181533,229869,249248,341467,309901,633886,978533,960866,796306,19136190,26703609,16883464,2309950,3508346,3821161,5726123,4871641,10282882,17290761,16473754,11593728
