,Sno.,State Name,District Name,Total households applied for job card,Total job cards issued,Total job cards (SC),Total job cards (ST),Total job cards (non-SC/ST),Total households demanded work,Total persons demanded work,Total households allotted work,Total persons allotted work,Total muster rolls filled,Total households worked,Total persons worked,Total households reached 100 day limit,Total persons with disability,Total households worked (non-SC/ST),Total person-days worked (non-SC/ST),Total SC households worked,Total person-days worked by SCs,Total ST households worked,Total person-days worked by STs,Total land reform/IAY households worked,Total person-days worked by women,Total person-days,Total SC households over 100 day limit,Total ST households over 100 day limit,"Labour exp. (disbursed, Rs. In Lakhs)","Material exp. (disbursed, Rs. In Lakhs)","Labour exp. (disbursed + pending, Rs. In Lakhs)","Material exp. (disbursed + pending, Rs. In Lakhs)",Amount sanctioned (Rs. In Lakhs),Total works,Total bank accounts,Total individual bank accounts,Total joint bank accounts,Amount disbursed to bank accounts,Total post office accounts,Total individual post office accounts,Total joint post office accounts,Amount disbursed to post office accounts,Total households completed person-days in range:1-10,Total households completed<br>person-days in range:11-20,Total households completed<br>person-days in range:21-30,Total households completed<br>person-days in range:31-40,Total households completed<br>person-days in range:41-50,Total households completed<br>person-days in range:51-60,Total households completed<br>person-days in range:61-70,Total households completed<br>person-days in range:71-80,Total households completed<br>person-days in range:81-99,Total households completed<br>person-days in range:100,Total households completed<br>person-days in range:>100,Total households completed<br>person-days in range:>14,Total workers employed<br>in age group:18-30yrs,Total workers employed<br>in age group:30-40yrs,Total workers employed<br>in age group:40-50yrs,Total workers employed<br>in age group:50-60yrs,Total workers employed<br>in age group:>60yrs,Total households demanded<br>work(Apr),Total households demanded<br>work(May),Total households demanded<br>work(Jun),Total households demanded<br>work(Jul),Total households demanded<br>work(Aug),Total households demanded<br>work(Sep),Total households demanded<br>work(Oct),Total households demanded<br>work(Nov),Total households demanded<br>work(Dec),Total households demanded<br>work(Jan),Total households demanded<br>work(Feb),Total households demanded<br>work(Mar),Total persons demanded work(Apr),Total persons demanded work(May),Total persons demanded work(Jun),Total persons demanded work(Jul),Total persons demanded work(Aug),Total persons demanded work(Sep),Total persons demanded work(Oct),Total persons demanded work(Nov),Total persons demanded work(Dec),Total persons demanded work(Jan),Total persons demanded work(Feb),Total persons demanded work(Mar),Total households worked(Apr),Total households worked(May),Total households worked(Jun),Total households worked(Jul),Total households worked(Aug),Total households worked(Sep),Total households worked(Oct),Total households worked(Nov),Total households worked(Dec),Total households worked(Jan),Total households worked(Feb),Total households worked(Mar),Total persons worked(Apr),Total persons worked(May),Total persons worked(Jun),Total persons worked(Jul),Total persons worked(Aug),Total persons worked(Sep),Total persons worked(Oct),Total persons worked(Nov),Total persons worked(Dec),Total persons worked(Jan),Total persons worked(Feb),Total persons worked(Mar)
157,158.0,GUJARAT,NARMADA,111513,109789,2819,96956,10014,58106,97855,57861,97390,19324,48203,76664,591,688,2642,79559,951,36638,44610,1389579,171,759128,1505776,16,543,3109,1590,3114,1612,49097931,18897,116224,107631,8593,280065057,36031,28480,7551,251420,86163,171674,209193,208823,182796,158242,120512,102542,206726,58400,767,1395735,,,,,,1068,17897,14907,5724,5197,3104,3405,5997,12711,24083,38052,26641,1423,26915,21735,7704,7231,4474,5297,8791,18647,37123,59365,40826,820,7798,12502,3637,4318,2801,3186,5348,11263,21350,34037,23241,8411,91199,144622,28098,37098,28873,37106,48302,123905,292337,447712,218175
158,159.0,GUJARAT,NAVSARI,123310,121487,1669,93760,26058,41936,49378,41673,49029,32616,35096,40394,24,69,12960,355256,455,19613,21681,783532,77,666024,1158401,0,22,2196,1102,2196,1102,6719470,8447,84053,83691,362,193271423,13444,12934,510,53400,34106,171325,128625,144253,141359,109691,94533,127192,204883,1700,734,1093017,,,,,,13051,21170,17843,3733,4620,4949,6312,8749,6540,5055,6827,4571,15610,25229,20834,4291,5054,5400,6771,9027,6785,5372,7232,4900,11706,19713,17058,3848,4217,5142,5229,3690,4846,4623,5815,4558,144422,333856,222757,46247,59507,66293,59411,34624,44829,49015,61878,35562
159,160.0,GUJARAT,PANCH MAHALS,132461,132369,6537,28925,96907,41485,65847,41335,65567,33111,35768,55030,476,120,27890,1272099,1520,74663,6358,275027,692,678007,1621789,21,82,3073,1434,3076,1439,11117,18796,135225,124613,10612,289506447,20398,13637,6761,186796,23813,92088,137223,121954,132364,145612,127496,154283,639327,46000,1629,1559852,,,,,,3876,13232,20130,13490,8228,10791,11380,9535,8546,11503,13725,10676,5553,19887,31488,20241,11296,15660,16087,12699,11081,15781,19214,14363,2925,10028,17649,10579,6189,9117,9648,7530,6812,9039,10272,7085,42957,185325,378045,138317,76746,138984,124267,97900,86959,132752,137837,81700
160,161.0,GUJARAT,PATAN,200733,199313,22096,5354,171863,26912,44947,26876,44858,12754,23156,37876,247,436,20046,627070,2679,102000,431,14072,225,288851,743142,37,6,1183,444,1184,445,8088829,7712,65543,63667,1876,95892526,41244,32360,8884,20737,34764,97819,84431,77501,74921,72759,66312,58048,151851,23300,1436,683652,,,,,,5594,11003,13707,2269,2812,1075,397,777,2268,5590,5880,4065,9557,19214,23384,3063,3550,1351,455,1048,3135,7583,7650,5059,4446,9789,11993,2039,2014,769,350,636,1991,4390,4899,2448,69041,201370,219324,20677,23091,6967,4163,6788,33759,66997,63353,27612
161,162.0,GUJARAT,PORBANDAR,31402,31179,4008,1012,26159,10667,18703,10663,18697,7370,8902,15232,628,6,6624,338048,1982,122314,296,15424,170,275373,475786,242,13,674,320,674,320,2135,1179,28239,24149,4090,65875651,10259,5337,4922,0,4171,12309,29126,29119,38281,47537,49985,49412,153046,62800,0,467626,,,,,,6799,7336,7257,2987,229,1460,547,350,125,301,663,520,11851,12800,11860,4656,320,1734,740,441,158,332,767,581,5535,6481,6470,2278,145,388,428,245,82,247,421,316,118030,189629,117732,24369,2470,3415,6134,3211,1170,2498,4866,2262
162,163.0,GUJARAT,RAJKOT,111059,110357,7021,747,102589,9434,24118,9404,24032,6826,8377,21081,32,86,7808,334347,536,18309,33,1770,154,176997,354426,3,1,377,17,378,17,2001757,1696,34825,16136,18689,36421591,33372,10614,22758,2014593,4231,19820,33825,39622,47822,48073,38780,40911,78123,2200,1019,342772,,,,,,3321,7221,6211,187,100,184,126,130,77,267,1032,568,8121,17999,15223,425,254,449,238,307,168,584,2228,1063,2788,6057,4969,110,51,143,92,81,52,120,677,465,58613,167940,99434,1751,1044,2053,1177,1702,966,1962,11723,6061
163,164.0,GUJARAT,SABAR KANTHA,105286,98585,16388,33555,48642,32194,54565,32116,54418,17831,25706,40654,202,116,12695,513150,5756,274898,7255,269652,598,521111,1057700,79,16,1409,178,1414,178,12406853,5503,83759,68707,15052,124023338,28960,20671,8289,89003,20350,85741,97081,90206,114194,115118,99199,113467,302134,19500,710,1011064,,,,,,6231,14493,14330,3130,2846,2538,2249,1749,4579,9753,12857,3743,10273,24822,23730,4434,3792,3335,2923,2158,6628,14810,19665,5476,3726,11373,11397,2351,2502,1930,1268,1186,3026,7161,10523,2327,52960,266616,215959,37013,43322,31938,16896,15449,43702,130021,182809,21015
164,165.0,GUJARAT,SURAT,152450,151499,3650,133129,14720,39593,53846,39532,53754,44318,35645,47049,160,121,2408,78981,456,15288,32781,1249806,3933,526024,1344075,1,155,2480,1709,2480,1710,2565019,11767,159312,159023,289,217180013,2,2,0,0,38588,116705,127444,155621,137000,144367,115119,114205,378976,15600,450,1273665,,,,,,11842,18681,15718,10401,7807,7138,8984,3158,4601,6417,8421,6207,15465,25073,20545,12948,9519,8332,10145,3469,5067,7110,9392,6869,10606,16308,14929,9213,6382,6617,8063,2739,4118,5653,7475,4095,155441,312345,231227,120009,95526,82861,94743,22224,45288,68774,82031,33606
165,166.0,GUJARAT,SURENDRANAGAR,72186,69393,7727,1460,60206,22267,46187,22147,45932,10055,17450,35459,145,260,16090,607487,1196,52564,164,6394,266,260440,666445,28,3,994,368,1013,372,4830,3836,62973,55650,7323,64006463,23955,10750,13205,39189,10633,64623,65658,69356,82434,91150,65640,70564,131872,14000,515,619543,,,,,,3656,9766,12554,8403,2746,1618,1143,935,439,466,467,410,7363,19486,26264,17430,4307,2289,1850,1410,683,582,630,469,3149,8596,10164,5073,2524,1443,943,726,382,438,416,369,67238,221038,195343,91101,31464,16803,12219,9936,5065,6206,5997,4035
166,167.0,GUJARAT,TAPI,172040,171935,1923,158826,11186,69657,118789,69425,118376,34311,52240,88192,292,521,2900,100339,563,25087,48777,1388394,4458,737630,1513820,19,242,2982,1336,2990,1382,14096014,12939,115201,87288,27913,193401770,34973,19567,15406,10074478,101421,152195,223281,201796,178164,151219,111320,130007,233230,13500,17687,1363293,,,,,,21281,36269,24348,4171,3783,3011,3709,7185,12508,10120,8834,5367,31044,59938,43987,6562,6309,4816,5612,10536,14458,12422,10742,7968,17137,31144,21860,3089,2684,2244,2662,2486,2457,5027,6366,3452,218483,626428,374633,39135,33156,24464,27664,21851,24836,43794,48971,30405
